,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,134.1,138.9,131.5,132.5,138.5,137.95,135.68,156.5,78.75,8301047,"1,126,274,364.10",29397,137.95,
1,02-Feb-2021,EQ,139.1,144.45,139.1,137.95,143.85,143.7,142.56,156.5,78.75,5735905,"817,683,624.25",24139,143.7,0.04083649242168441
2,03-Feb-2021,EQ,144.45,149.6,142.25,143.7,148.2,148.4,146.73,156.5,78.75,7049551,"1,034,409,474.75",34051,148.4,0.03218353764830084
3,04-Feb-2021,EQ,148.45,152.9,146.6,148.4,152.15,152.2,150.83,156.5,78.75,9356222,"1,411,184,370.35",49687,152.2,0.025284114694305693
4,05-Feb-2021,EQ,154.5,155.0,146.55,152.2,148.0,147.6,150.62,156.5,78.75,7112649,"1,071,323,093.80",34514,147.6,-0.030689533261213597
5,08-Feb-2021,EQ,147.9,149.5,146.7,147.6,148.8,149.1,148.24,156.5,78.75,3368352,"499,317,278.30",30038,149.1,0.01011130960432105
6,09-Feb-2021,EQ,147.65,150.3,145.6,149.1,146.95,146.55,148.33,156.5,78.75,6252080,"927,349,006.70",24262,146.55,-0.017250554613791103
7,10-Feb-2021,EQ,146.2,148.65,145.4,146.55,146.95,146.8,146.88,156.5,78.75,3996999,"587,065,737.30",22878,146.8,0.0017044490235136323
8,11-Feb-2021,EQ,146.7,147.95,145.5,146.8,145.55,146.05,146.63,156.5,78.75,1628327,"238,769,447.15",8758,146.05,-0.005122087346665083
9,12-Feb-2021,EQ,146.9,148.6,145.2,146.05,147.05,147.3,146.97,156.5,78.75,4556879,"669,736,980.30",17711,147.3,0.008522294634834005
10,15-Feb-2021,EQ,148.2,153.9,148.0,147.3,152.7,152.75,152.22,155.0,78.75,7669917,"1,167,513,380.80",35270,152.75,0.036331274583120354
11,16-Feb-2021,EQ,153.95,156.3,152.5,152.75,153.45,153.7,154.55,156.3,78.75,5294198,"818,214,606.10",28703,153.7,0.006200052492845387
12,17-Feb-2021,EQ,153.45,155.25,151.15,153.7,151.7,151.7,153.28,156.3,78.75,4985891,"764,228,402.20",24491,151.7,-0.013097764190063366
13,18-Feb-2021,EQ,152.0,157.0,151.8,151.7,154.2,154.15,154.92,157.0,78.75,6647711,"1,029,856,038.60",34113,154.15,0.016021267977672338
14,19-Feb-2021,EQ,153.95,154.15,143.5,154.15,145.35,145.7,147.63,157.0,78.75,7603110,"1,122,460,278.10",38187,145.7,-0.05637644113100038
15,22-Feb-2021,EQ,145.35,145.6,138.05,145.7,138.2,139.5,141.43,157.0,78.75,9830165,"1,390,236,968.70",63589,139.5,-0.04348511193973881
16,23-Feb-2021,EQ,140.0,142.4,138.6,139.5,139.25,139.65,140.41,157.0,78.75,6858197,"962,992,057.00",35261,139.65,0.0010746911297658812
17,24-Feb-2021,EQ,139.65,141.65,131.3,139.65,138.45,138.25,138.99,157.0,78.75,4422985,"614,749,284.60",27583,138.25,-0.010075651988741718
18,25-Feb-2021,EQ,140.5,144.5,137.2,138.25,144.25,143.55,140.78,157.0,78.75,14806990,"2,084,494,418.80",69739,143.55,0.03761976616462892
19,26-Feb-2021,EQ,142.35,142.35,134.4,143.55,135.25,135.5,137.44,157.0,78.75,10133891,"1,392,821,074.00",70620,135.5,-0.05771176624731744
20,01-Mar-2021,EQ,136.55,139.9,136.3,135.5,139.9,138.95,138.32,157.0,78.75,4942999,"683,738,457.60",31524,138.95,0.025142515868757265
21,02-Mar-2021,EQ,139.6,142.3,138.4,138.95,140.45,140.0,140.07,157.0,78.75,7893367,"1,105,653,490.90",43622,140.0,0.007528266420790963
22,03-Mar-2021,EQ,142.8,146.85,140.2,140.0,146.6,146.25,143.54,157.0,78.75,13740122,"1,972,313,342.15",55012,146.25,0.04367506350266215
23,04-Mar-2021,EQ,144.75,150.75,144.1,146.25,145.75,145.75,147.29,157.0,78.75,15038828,"2,215,084,972.75",67379,145.75,-0.003424660881364616
24,05-Mar-2021,EQ,145.95,147.0,141.9,145.75,144.4,143.05,144.92,157.0,78.75,8731097,"1,265,310,059.20",54748,143.05,-0.018698605734481788
25,08-Mar-2021,EQ,144.45,147.55,143.7,143.05,146.85,146.45,146.22,157.0,78.75,3511755,"513,492,832.40",31431,146.45,0.02348985377762247
26,09-Mar-2021,EQ,147.2,150.3,145.5,146.45,147.5,147.6,148.11,157.0,78.75,9193007,"1,361,609,436.45",99278,147.6,0.007821838892629884
27,10-Mar-2021,EQ,148.5,151.8,148.5,147.6,150.8,151.2,150.51,157.0,78.75,11196096,"1,685,169,866.35",65692,151.2,0.024097551579060905
28,12-Mar-2021,EQ,151.35,154.45,149.45,151.2,151.2,151.05,152.39,157.0,78.75,9563229,"1,457,339,925.65",50191,151.05,-0.0009925559127514916
29,15-Mar-2021,EQ,151.75,153.35,149.4,151.05,152.3,152.7,151.45,157.0,78.75,7670275,"1,161,661,751.50",40804,152.7,0.010864304391905222
30,16-Mar-2021,EQ,153.75,155.45,153.0,152.7,154.4,154.5,154.36,157.0,78.75,6612160,"1,020,653,597.80",34626,154.5,0.011718884113213868
31,17-Mar-2021,EQ,154.1,154.5,150.5,154.5,151.65,151.15,151.85,157.0,78.75,5568882,"845,644,969.20",27546,151.15,-0.021921375112333052
32,18-Mar-2021,EQ,147.55,148.45,139.8,151.15,141.95,141.25,143.74,157.0,78.75,8645715,"1,242,768,139.35",41473,141.25,-0.06774135119891689
33,19-Mar-2021,EQ,140.1,144.45,137.55,141.25,142.7,143.15,141.07,157.0,78.75,13599507,"1,918,478,612.15",40872,143.15,0.013361661517573786
34,22-Mar-2021,EQ,141.0,142.75,138.75,143.15,139.3,139.2,140.5,157.0,78.75,4962230,"697,188,030.40",26838,139.2,-0.02798128364380492
35,23-Mar-2021,EQ,139.3,141.1,138.45,139.2,139.6,139.55,139.74,157.0,78.75,6407438,"895,360,288.15",27188,139.55,0.00251121208201166
36,24-Mar-2021,EQ,138.5,140.05,134.95,139.55,135.15,135.2,136.35,157.0,78.75,4313772,"588,204,241.05",29957,135.2,-0.03166779637346728
37,25-Mar-2021,EQ,135.25,135.5,129.05,135.2,131.5,130.75,131.46,157.0,78.75,5656450,"743,592,171.00",27574,130.75,-0.033468060663831345
38,26-Mar-2021,EQ,131.95,133.6,130.65,130.75,131.45,131.3,132.21,157.0,78.75,3135272,"414,510,159.05",16776,131.3,0.004197678363718538
39,30-Mar-2021,EQ,132.0,133.1,127.8,131.3,128.9,128.55,130.2,157.0,80.65,5197773,"676,724,216.00",39280,128.55,-0.02116684759685228
40,31-Mar-2021,EQ,129.0,132.25,128.7,128.55,131.2,131.15,131.04,157.0,80.65,4535373,"594,321,505.50",26731,131.15,0.020023772600984202
41,01-Apr-2021,EQ,132.2,133.1,131.1,131.15,133.0,132.75,132.24,157.0,80.65,3582988,"473,825,335.60",18847,132.75,0.012125953809165146
42,05-Apr-2021,EQ,132.85,132.85,128.2,132.75,130.15,130.2,130.17,157.0,83.65,4680625,"609,298,302.10",22557,130.2,-0.019395930347579693
43,06-Apr-2021,EQ,131.15,133.6,129.9,130.2,131.8,131.9,132.32,157.0,83.65,4047771,"535,605,918.60",19968,131.9,0.012972329948800265
44,07-Apr-2021,EQ,132.05,134.25,131.2,131.9,134.0,133.9,133.14,157.0,83.65,3577854,"476,346,145.25",29757,133.9,0.015049192973858538
45,08-Apr-2021,EQ,134.85,135.5,131.6,133.9,132.0,132.25,133.93,157.0,83.65,3452550,"462,402,993.25",20004,132.25,-0.012399181958718586
46,09-Apr-2021,EQ,132.0,133.6,131.0,132.25,132.1,132.1,132.41,157.0,83.65,2135313,"282,735,254.05",9928,132.1,-0.0011348592101292354
47,12-Apr-2021,EQ,130.45,130.45,122.15,132.1,124.9,125.05,124.91,157.0,83.65,9144656,"1,142,285,855.25",45108,125.05,-0.054845554204651314
48,13-Apr-2021,EQ,125.65,131.75,125.45,125.05,130.95,131.0,129.46,157.0,83.65,7063299,"914,438,646.65",35536,131.0,0.04648366587752317
49,15-Apr-2021,EQ,130.75,132.1,126.5,131.0,127.95,128.1,128.27,157.0,83.65,6320687,"810,760,648.40",22917,128.1,-0.022386114298462267
50,16-Apr-2021,EQ,128.0,129.0,126.7,128.1,126.8,127.1,127.97,157.0,83.65,2505833,"320,671,531.10",16260,127.1,-0.00783703070728059
