,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,58.55,65.25,57.6,57.65,63.5,63.6,60.58,80.3,20.15,177670118,"10,763,754,929.65",226111,63.6,
1,02-Feb-2021,EQ,64.0,64.35,60.1,63.6,61.4,61.0,61.62,80.3,20.15,71391560,"4,399,244,013.50",122602,61.0,-0.041739606172765065
2,03-Feb-2021,EQ,61.65,64.55,61.4,61.0,63.4,63.6,63.42,80.3,20.15,54055375,"3,427,922,123.60",98803,63.6,0.041739606172765065
3,04-Feb-2021,EQ,63.4,64.85,63.0,63.6,64.7,64.45,64.19,80.3,20.15,35946423,"2,307,549,326.25",58967,64.45,0.01327625903912022
4,05-Feb-2021,EQ,65.0,65.9,62.25,64.45,65.25,65.05,64.55,80.3,20.15,53271875,"3,438,526,644.05",94541,65.05,0.009266475573317834
5,08-Feb-2021,EQ,65.8,68.2,64.75,65.05,68.15,67.7,66.62,80.3,20.15,49944573,"3,327,520,367.15",78488,67.7,0.03992997495971462
6,09-Feb-2021,EQ,68.0,68.85,65.55,67.7,67.3,66.75,67.33,80.3,20.15,64688675,"4,355,592,313.20",88822,66.75,-0.014131882637870241
7,10-Feb-2021,EQ,68.25,69.75,66.05,66.75,66.7,66.7,67.6,80.3,20.15,125531414,"8,485,759,452.60",156424,66.7,-0.0007493443587804904
8,11-Feb-2021,EQ,66.4,67.55,66.1,66.7,67.4,66.9,66.94,80.3,20.15,21648433,"1,449,231,618.85",41526,66.9,0.00299401421260459
9,12-Feb-2021,EQ,67.0,67.25,64.4,66.9,64.8,64.75,65.53,80.3,20.15,26210719,"1,717,508,332.55",52045,64.75,-0.0326652665545355
10,15-Feb-2021,EQ,65.5,65.7,62.4,64.75,62.5,62.7,63.92,80.3,20.15,24798836,"1,585,238,217.00",54032,62.7,-0.03217225294077242
11,16-Feb-2021,EQ,62.75,66.4,62.75,62.7,64.75,64.75,65.21,80.3,20.15,53647015,"3,498,326,772.75",85504,64.75,0.03217225294077242
12,17-Feb-2021,EQ,64.5,65.9,63.65,64.75,64.6,64.6,64.68,80.3,20.15,27764443,"1,795,761,764.50",54274,64.6,-0.0023192897910915278
13,18-Feb-2021,EQ,65.0,67.9,64.4,64.6,66.95,66.9,66.98,80.3,20.15,56021909,"3,752,142,790.00",95683,66.9,0.03498455634562703
14,19-Feb-2021,EQ,67.0,68.5,63.25,66.9,65.6,65.3,66.53,80.3,20.15,44987639,"2,992,881,570.00",78023,65.3,-0.024206930851797814
15,22-Feb-2021,EQ,65.25,68.7,65.05,65.3,66.3,66.8,67.25,80.3,20.15,53109880,"3,571,769,223.70",90208,66.8,0.022711044260215196
16,23-Feb-2021,EQ,67.5,71.2,66.9,66.8,71.1,70.55,69.12,80.3,20.15,100267923,"6,930,921,093.25",126958,70.55,0.0546185977562228
17,24-Feb-2021,EQ,71.4,73.65,71.1,70.55,71.5,71.4,72.41,80.3,20.15,97883442,"7,087,821,357.85",124665,71.4,0.01197619104671599
18,25-Feb-2021,EQ,72.25,73.9,72.05,71.4,73.7,73.2,73.09,80.3,20.15,61933209,"4,526,591,795.60",82507,73.2,0.024897551621727132
19,26-Feb-2021,EQ,71.95,77.5,71.05,73.2,76.2,76.55,74.89,80.3,20.15,169801364,"12,716,821,217.40",229798,76.55,0.04474870113642648
20,01-Mar-2021,EQ,77.5,79.5,74.75,76.55,78.2,78.4,77.77,80.3,20.15,80974117,"6,297,132,725.80",149154,78.4,0.02387980525266986
21,02-Mar-2021,EQ,78.95,81.5,77.5,78.4,78.55,78.8,79.73,81.5,20.15,94777460,"7,556,890,203.15",155792,78.8,0.005089069507470789
22,03-Mar-2021,EQ,79.0,81.15,78.25,78.8,78.7,78.45,79.87,81.5,20.15,47037509,"3,756,668,266.50",82129,78.45,-0.004451517684791462
23,04-Mar-2021,EQ,76.9,77.75,75.0,78.45,76.2,76.4,76.35,81.5,20.15,46203742,"3,527,669,070.65",91406,76.4,-0.02647878300656714
24,05-Mar-2021,EQ,75.95,76.1,69.4,76.4,72.5,72.1,72.91,81.5,20.15,65129335,"4,748,481,600.25",114980,72.1,-0.05792865188157137
25,08-Mar-2021,EQ,73.1,75.35,72.35,72.1,74.4,74.35,74.0,81.5,20.15,41468123,"3,068,837,194.05",74770,74.35,0.030729628615260296
26,09-Mar-2021,EQ,75.15,75.5,69.7,74.35,70.95,71.3,72.18,81.5,20.15,42201529,"3,046,071,152.70",89052,71.3,-0.04188734548591366
27,10-Mar-2021,EQ,71.8,73.75,70.8,71.3,72.8,73.0,72.39,81.5,20.15,36382925,"2,633,854,123.65",69926,73.0,0.023563113728140905
28,12-Mar-2021,EQ,73.75,75.75,72.15,73.0,72.5,72.85,74.21,81.5,20.15,52509386,"3,896,541,459.80",91981,72.85,-0.002056908507177546
29,15-Mar-2021,EQ,72.95,77.35,71.6,72.85,76.95,76.7,74.66,81.5,20.15,61678556,"4,605,071,472.50",88672,76.7,0.051499175731996694
30,16-Mar-2021,EQ,77.6,78.3,74.65,76.7,74.85,75.05,75.9,81.5,20.15,55029693,"4,176,813,108.20",87339,75.05,-0.02174715029373875
31,17-Mar-2021,EQ,75.0,75.4,71.7,75.05,72.05,72.15,73.32,81.5,20.15,31206605,"2,288,005,455.05",68991,72.15,-0.03940727285959156
32,18-Mar-2021,EQ,73.2,75.8,69.55,72.15,71.5,70.75,72.78,81.5,20.15,46498848,"3,384,067,097.75",86700,70.75,-0.019594748696532882
33,19-Mar-2021,EQ,70.65,74.65,67.1,70.75,73.15,73.5,71.02,81.5,20.15,51635354,"3,667,078,490.30",94864,73.5,0.038132869695443716
34,22-Mar-2021,EQ,73.0,74.1,72.2,73.5,73.3,73.35,73.22,81.5,20.15,21560723,"1,578,740,072.65",43860,73.35,-0.0020429016297995872
35,23-Mar-2021,EQ,73.7,74.35,72.0,73.35,72.3,72.3,73.08,81.5,20.15,19090900,"1,395,127,005.95",40965,72.3,-0.014418375424272156
36,24-Mar-2021,EQ,71.8,71.95,69.8,72.3,71.05,70.5,70.85,81.5,20.15,30044912,"2,128,827,494.10",56414,70.5,-0.025211419346495845
37,25-Mar-2021,EQ,71.05,72.9,67.6,70.5,72.7,72.25,70.9,81.5,20.15,80461442,"5,704,990,218.20",133680,72.25,0.024519617174318498
38,26-Mar-2021,EQ,73.8,77.5,73.05,72.25,76.65,76.75,75.67,81.5,20.15,105958723,"8,017,621,148.85",174167,76.75,0.06042105947476539
39,30-Mar-2021,EQ,78.45,81.0,78.0,76.75,79.1,79.15,79.76,81.5,20.15,90702901,"7,234,599,801.40",169984,79.15,0.03079139985971402
40,31-Mar-2021,EQ,79.15,80.15,78.0,79.15,79.0,78.8,79.35,81.5,20.15,30537855,"2,423,303,257.60",73286,78.8,-0.004431789463187563
41,01-Apr-2021,EQ,79.65,84.4,79.55,78.8,83.3,83.85,82.37,84.4,20.15,87556680,"7,212,011,967.90",161975,83.85,0.062116491405384444
42,05-Apr-2021,EQ,86.5,90.0,83.55,83.85,89.95,89.65,87.35,90.0,22.4,149912383,"13,095,514,837.40",300998,89.65,0.06688371178192387
43,06-Apr-2021,EQ,91.9,93.4,89.15,89.65,91.5,91.05,91.55,93.4,22.4,134289233,"12,294,382,623.75",275975,91.05,0.015495606122475358
44,07-Apr-2021,EQ,91.5,92.3,89.25,91.05,90.1,89.8,90.97,93.4,22.4,48066027,"4,372,459,498.00",109938,89.8,-0.013823830865463016
45,08-Apr-2021,EQ,91.35,98.5,91.35,89.8,95.85,95.6,94.86,98.5,22.4,124224953,"11,783,744,732.60",239870,95.6,0.06258784474920187
46,09-Apr-2021,EQ,96.75,98.0,92.3,95.6,94.7,94.35,94.99,98.5,22.4,70229432,"6,670,892,001.60",153383,94.35,-0.013161548242797139
47,12-Apr-2021,EQ,91.9,91.95,83.45,94.35,85.15,84.7,87.36,98.5,25.1,97082396,"8,481,031,971.45",218769,84.7,-0.10789567015654988
48,13-Apr-2021,EQ,85.35,91.7,85.35,84.7,91.5,90.7,87.95,98.5,25.1,64322836,"5,657,007,455.95",132236,90.7,0.06844175546308229
49,15-Apr-2021,EQ,92.0,95.35,89.9,90.7,92.85,92.8,92.68,98.5,25.1,120105992,"11,131,103,980.20",230139,92.8,0.022889282671063604
50,16-Apr-2021,EQ,93.8,94.5,91.05,92.8,91.7,91.6,93.2,98.5,25.1,39292380,"3,662,102,769.55",101321,91.6,-0.013015368112069936
51,19-Apr-2021,EQ,87.25,89.5,85.35,91.6,89.0,89.15,87.87,98.5,25.4,60730939,"5,336,171,877.10",128153,89.15,-0.027110927370935123
52,20-Apr-2021,EQ,90.5,92.15,87.7,89.15,88.5,89.0,90.43,98.5,25.4,36041449,"3,259,176,517.40",72631,89.0,-0.0016839745770100834
53,22-Apr-2021,EQ,89.5,94.5,89.0,89.0,93.9,94.05,92.39,98.5,25.4,56291774,"5,201,046,409.50",115752,94.05,0.0551901860149
54,23-Apr-2021,EQ,95.0,96.7,90.75,94.05,93.1,93.1,94.67,98.5,25.4,72844016,"6,896,357,392.20",147053,93.1,-0.010152371464018373
55,26-Apr-2021,EQ,95.05,101.2,94.85,93.1,100.6,100.5,98.83,101.2,26.3,167027119,"16,506,561,310.95",313413,100.5,0.07648354321610906
56,27-Apr-2021,EQ,100.5,101.55,99.3,100.5,100.1,100.15,100.48,101.55,26.3,59990913,"6,027,929,476.65",137802,100.15,-0.0034886653873034135
57,28-Apr-2021,EQ,100.8,104.2,99.6,100.15,103.1,103.5,101.73,104.2,26.3,71403090,"7,263,987,194.00",144770,103.5,0.03290255059359648
58,29-Apr-2021,EQ,105.0,113.5,104.75,103.5,112.5,112.5,108.6,113.5,26.3,144435081,"15,685,198,320.55",294322,112.5,0.08338160893905133
59,30-Apr-2021,EQ,111.0,121.35,109.25,112.5,118.3,119.5,117.61,121.35,26.3,211743607,"24,903,118,271.15",460424,119.5,0.06036314972709089
60,03-May-2021,EQ,119.2,130.6,116.45,119.5,127.1,127.75,124.97,130.6,26.55,170916244,"21,360,143,269.95",396305,127.75,0.06675885771224799
61,04-May-2021,EQ,129.7,135.7,126.15,127.75,130.55,128.0,131.33,135.7,26.55,195246744,"25,642,317,519.00",463309,128.0,0.001955034835803282
62,05-May-2021,EQ,132.5,134.3,126.55,128.0,130.4,130.3,130.03,135.7,26.55,104823675,"13,630,042,498.25",255101,130.3,0.017809220211182364
63,06-May-2021,EQ,130.4,135.0,129.35,130.3,135.0,133.65,132.32,135.7,26.55,97680986,"12,925,285,350.15",226906,133.65,0.02538495845412836
64,07-May-2021,EQ,136.1,145.85,136.1,133.65,144.4,144.25,141.17,145.85,26.55,164883787,"23,275,859,014.35",415130,144.25,0.0763234628032814
65,10-May-2021,EQ,150.45,151.3,145.0,144.25,147.05,146.3,147.29,151.3,26.55,114303952,"16,835,909,517.10",322494,146.3,0.014111402637869475
66,11-May-2021,EQ,141.5,143.95,138.3,146.3,140.25,140.4,141.15,151.3,26.55,117184978,"16,540,286,883.85",312334,140.4,-0.041163816434367284
67,12-May-2021,EQ,140.4,143.25,129.15,140.4,132.6,132.2,136.55,151.3,26.55,95677126,"13,064,422,232.15",255459,132.2,-0.060179564174124955
68,14-May-2021,EQ,133.4,134.3,123.2,132.2,126.9,127.15,128.47,151.3,26.55,147648853,"18,968,243,308.95",384957,127.15,-0.03894843554945737
69,17-May-2021,EQ,128.0,131.5,123.1,127.15,131.1,130.55,127.4,151.3,26.55,81100256,"10,332,577,048.65",227068,130.55,0.02638880327700921
70,18-May-2021,EQ,134.5,136.2,130.4,130.55,131.55,131.95,133.47,151.3,26.55,66676999,"8,899,518,169.95",183910,131.95,0.010666767804194954
71,19-May-2021,EQ,130.6,132.5,127.6,131.95,128.4,128.6,129.88,151.3,26.55,38298939,"4,974,367,426.90",150419,128.6,-0.02571625114581444
72,20-May-2021,EQ,125.0,125.4,121.0,128.6,121.3,121.45,123.41,151.3,26.55,59942600,"7,397,299,868.20",197715,121.45,-0.057204156355337155
73,21-May-2021,EQ,122.0,124.8,121.4,121.45,122.6,122.0,122.87,151.3,26.55,36201475,"4,448,194,492.20",100419,122.0,0.004518389285075308
74,24-May-2021,EQ,122.3,125.75,117.1,122.0,124.9,124.75,121.71,151.3,27.5,96749599,"11,775,605,908.65",229126,124.75,0.02229068989837124
75,25-May-2021,EQ,126.4,128.3,123.25,124.75,123.7,123.95,125.97,151.3,27.5,91822284,"11,566,772,630.70",223275,123.95,-0.006433476150428774
76,26-May-2021,EQ,123.0,123.0,118.1,123.95,118.55,118.75,120.07,151.3,27.5,67141657,"8,061,767,889.95",203444,118.75,-0.04285781556644874
77,27-May-2021,EQ,118.55,124.35,118.5,118.75,122.45,122.25,121.86,151.3,27.5,76208352,"9,286,416,152.80",201536,122.25,0.029047685440231064
78,28-May-2021,EQ,126.5,126.8,120.25,122.25,120.95,120.9,123.46,151.3,27.5,66359161,"8,192,829,612.55",187355,120.9,-0.01110437073423487
