,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"7,850.00","7,950.00","7,830.10","7,815.85","7,904.00","7,911.40","7,891.07","8,989.00","5,900.00",23439,"184,958,769.30",3545,7911.4,
1,02-Feb-2021,EQ,"7,950.00","8,035.85","7,880.00","7,911.40","7,900.00","7,899.65","7,920.24","8,989.00","5,900.00",16661,"131,959,107.05",5282,7899.65,-0.0014863025748539371
2,03-Feb-2021,EQ,"7,900.00","8,034.25","7,877.85","7,899.65","7,887.40","7,886.35","7,892.95","8,989.00","5,900.00",41100,"324,400,180.85",4810,7886.35,-0.0016850377735906363
3,04-Feb-2021,EQ,"7,939.00","7,939.00","7,780.00","7,886.35","7,800.00","7,798.30","7,830.39","8,989.00","5,900.00",53241,"416,897,823.20",8587,7798.3,-0.011227655697149785
4,05-Feb-2021,EQ,"7,844.00","7,874.00","7,785.10","7,798.30","7,840.00","7,839.30","7,834.63","8,989.00","5,900.00",32770,"256,740,798.90",5000,7839.3,0.00524378343849996
5,08-Feb-2021,EQ,"7,910.00","7,924.95","7,850.00","7,839.30","7,908.00","7,886.60","7,889.84","8,989.00","5,900.00",19382,"152,920,971.05",1812,7886.6,0.006015572099203226
6,09-Feb-2021,EQ,"7,900.00","7,988.35","7,887.65","7,886.60","7,979.90","7,962.20","7,926.62","8,989.00","5,900.00",35555,"281,831,108.30",4149,7962.2,0.00954022681836797
7,10-Feb-2021,EQ,"7,979.90","7,999.00","7,790.05","7,962.20","7,806.80","7,801.00","7,822.24","8,989.00","5,900.00",50586,"395,695,725.75",9986,7801.0,-0.020453412973219898
8,11-Feb-2021,EQ,"7,837.35","7,837.35","7,780.00","7,801.00","7,790.00","7,787.15","7,793.39","8,989.00","5,900.00",10022,"78,105,331.15",2270,7787.15,-0.0017769913228331546
9,12-Feb-2021,EQ,"7,790.00","7,848.45","7,750.00","7,787.15","7,800.00","7,779.40","7,790.79","8,989.00","5,900.00",18705,"145,726,748.05",4435,7779.4,-0.0009957248896288462
10,15-Feb-2021,EQ,"7,832.00","7,898.00","7,787.75","7,779.40","7,821.00","7,844.60","7,853.22","8,989.00","5,900.00",23732,"186,372,630.00",6435,7844.6,0.00834618260097919
11,16-Feb-2021,EQ,"7,845.00","7,895.00","7,811.50","7,844.60","7,825.00","7,830.65","7,846.85","8,989.00","5,900.00",29867,"234,361,949.20",3503,7830.65,-0.0017798763889249614
12,17-Feb-2021,EQ,"7,864.00","7,864.00","7,784.00","7,830.65","7,790.00","7,792.20","7,803.32","8,989.00","5,900.00",22704,"177,166,468.80",2543,7792.2,-0.004922287243806167
13,18-Feb-2021,EQ,"7,840.00","7,840.00","7,761.30","7,792.20","7,804.95","7,802.45","7,797.05","8,989.00","5,900.00",19178,"149,531,879.65",4255,7802.45,0.0013145535778029682
14,19-Feb-2021,EQ,"7,802.00","7,980.00","7,785.00","7,802.45","7,904.95","7,902.75","7,863.57","8,989.00","5,900.00",20636,"162,272,589.95",2944,7902.75,0.012773013225844565
15,22-Feb-2021,EQ,"7,902.00","7,970.20","7,882.30","7,902.75","7,910.00","7,910.75","7,926.93","8,989.00","5,900.00",15243,"120,830,231.25",4842,7910.75,0.0010117938068727739
16,23-Feb-2021,EQ,"7,945.00","7,980.00","7,871.00","7,910.75","7,974.00","7,968.15","7,941.79","8,989.00","5,900.00",31814,"252,660,176.65",7311,7968.15,0.007229751433825982
17,24-Feb-2021,EQ,"8,175.00","8,273.95","8,051.10","7,968.15","8,155.00","8,154.20","8,159.61","8,989.00","5,900.00",51754,"422,292,541.45",8911,8154.2,0.023080786529048325
18,25-Feb-2021,EQ,"8,220.00","8,250.00","8,122.70","8,154.20","8,145.00","8,144.10","8,163.53","8,989.00","5,900.00",30394,"248,122,235.40",4113,8144.1,-0.0012393932241856476
19,26-Feb-2021,EQ,"8,150.00","8,354.70","8,090.00","8,144.10","8,328.00","8,269.70","8,192.41","8,989.00","5,900.00",37451,"306,814,012.35",6828,8269.7,0.015304493971166622
20,01-Mar-2021,EQ,"8,349.90","8,400.00","8,200.00","8,269.70","8,200.00","8,288.80","8,342.55","8,989.00","5,900.00",31051,"259,044,671.75",4626,8288.8,0.00230697327306828
21,02-Mar-2021,EQ,"8,280.00","8,350.00","8,258.00","8,288.80","8,349.00","8,326.25","8,303.27","8,989.00","5,900.00",7988,"66,326,521.00",2689,8326.25,0.004507968789846828
