,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,285.1,313.9,282.75,282.1,313.0,310.7,300.59,331.9,149.45,103414068,"31,085,667,892.60",571788,310.7,
1,02-Feb-2021,EQ,315.0,337.4,315.0,310.7,331.4,333.1,325.89,337.4,149.45,121434166,"39,573,855,924.20",696797,333.1,0.06961492880063247
2,03-Feb-2021,EQ,333.75,339.9,325.8,333.1,335.75,335.95,334.1,339.9,149.45,66420168,"22,190,882,737.05",464739,335.95,0.00851959416652548
3,04-Feb-2021,EQ,334.4,358.0,331.1,335.95,357.95,355.1,343.11,358.0,149.45,145203439,"49,821,324,982.70",799597,355.1,0.05543710058288287
4,05-Feb-2021,EQ,387.0,408.35,385.15,355.1,395.0,393.1,397.71,408.35,149.45,214955688,"85,490,825,741.15",1155236,393.1,0.10166459247877224
5,08-Feb-2021,EQ,398.0,407.8,394.75,393.1,395.85,397.05,400.46,408.35,149.45,79389205,"31,791,940,012.35",577218,397.05,0.009998184913405872
6,09-Feb-2021,EQ,396.75,403.5,389.0,397.05,393.6,394.8,396.65,408.35,149.45,63869990,"25,334,226,190.80",473516,394.8,-0.005682909781893564
7,10-Feb-2021,EQ,394.05,397.9,388.0,394.8,393.15,392.25,392.67,408.35,149.45,54163507,"21,268,236,419.55",395057,392.25,-0.006479915946185244
8,11-Feb-2021,EQ,391.8,396.95,388.25,392.25,390.9,390.15,391.61,408.35,149.45,36392708,"14,251,581,159.75",263431,390.15,-0.0053681110503713825
9,12-Feb-2021,EQ,391.0,399.35,385.55,390.15,392.95,393.15,392.34,408.35,149.45,53589755,"21,025,151,735.35",406441,393.15,0.007659937874755052
10,15-Feb-2021,EQ,397.5,409.45,395.7,393.15,409.0,406.95,403.08,409.45,149.45,56608937,"22,817,866,647.70",439746,406.95,0.03449910933552491
11,16-Feb-2021,EQ,412.0,415.75,400.3,406.95,402.9,402.35,407.39,415.75,149.45,80365431,"32,739,856,842.50",574557,402.35,-0.011367971180908043
12,17-Feb-2021,EQ,403.0,414.85,400.15,402.35,413.4,411.75,410.54,415.75,149.45,74161370,"30,446,129,688.40",499222,411.75,0.023094012465607605
13,18-Feb-2021,EQ,425.05,427.7,413.7,411.75,415.25,415.2,419.02,427.7,149.45,67154539,"28,138,820,418.00",583049,415.2,0.008343962793929016
14,19-Feb-2021,EQ,415.0,415.0,395.0,415.2,400.6,399.55,405.06,427.7,149.45,66155518,"26,797,082,795.65",479710,399.55,-0.03842141803120658
15,22-Feb-2021,EQ,400.6,401.0,385.65,399.55,387.95,389.5,392.32,427.7,149.45,52535049,"20,610,338,694.55",443311,389.5,-0.025475048509669307
16,23-Feb-2021,EQ,392.0,399.7,389.0,389.5,395.6,395.6,395.45,427.7,149.45,45462768,"17,978,202,667.40",342766,395.6,0.015539734437754582
17,24-Feb-2021,EQ,397.0,410.5,395.2,395.6,407.7,406.25,404.08,427.7,149.45,39632090,"16,014,688,399.65",340087,406.25,0.026565133895389614
18,25-Feb-2021,EQ,411.0,414.9,406.55,406.25,407.4,407.25,410.68,427.7,149.45,46988836,"19,297,289,930.90",355281,407.25,0.002458513838207388
19,26-Feb-2021,EQ,399.5,401.0,387.0,407.25,391.25,390.15,393.88,427.7,149.45,64450414,"25,385,862,094.55",536209,390.15,-0.04289596691938424
20,01-Mar-2021,EQ,395.1,397.7,391.0,390.15,395.2,394.95,394.72,427.7,149.45,29677890,"11,714,476,577.25",245987,394.95,0.012227894047658339
21,02-Mar-2021,EQ,395.0,399.55,390.55,394.95,394.8,394.2,394.42,427.7,149.45,30534337,"12,043,348,694.15",249193,394.2,-0.0019007798918089236
22,03-Mar-2021,EQ,396.5,408.9,396.0,394.2,404.7,405.05,404.09,427.7,149.45,46268223,"18,696,486,626.10",326940,405.05,0.02715212155788027
23,04-Mar-2021,EQ,398.7,403.5,394.45,405.05,396.8,395.65,399.48,427.7,149.45,43603653,"17,418,974,266.05",285942,395.65,-0.02348053422129759
24,05-Mar-2021,EQ,395.0,395.0,378.1,395.65,385.35,383.65,384.66,427.7,149.45,72179228,"27,764,314,247.65",599426,383.65,-0.030799303431527925
25,08-Mar-2021,EQ,388.45,393.4,386.05,383.65,390.1,389.6,389.52,427.7,149.45,39147858,"15,248,977,633.60",297783,389.6,0.015389893144705624
26,09-Mar-2021,EQ,393.45,394.9,382.25,389.6,387.9,387.6,389.13,427.7,149.45,28054083,"10,916,775,125.45",220873,387.6,-0.005146691751768628
27,10-Mar-2021,EQ,391.1,393.0,385.7,387.6,388.2,387.7,388.21,427.7,149.45,22677399,"8,803,497,252.15",187380,387.7,0.00025796466027205867
28,12-Mar-2021,EQ,391.7,393.2,377.5,387.7,381.1,381.1,385.33,427.7,149.45,35336355,"13,616,221,812.00",296998,381.1,-0.017170036797068633
29,15-Mar-2021,EQ,382.5,386.0,369.35,381.1,385.6,383.9,375.54,427.7,149.45,42722976,"16,044,328,007.40",414882,383.9,0.007320294126937021
30,16-Mar-2021,EQ,385.6,387.85,376.1,383.9,378.9,378.55,380.21,427.7,149.45,38196452,"14,522,681,456.30",300656,378.55,-0.01403393745743653
31,17-Mar-2021,EQ,378.2,379.65,366.05,378.55,366.9,368.15,373.37,427.7,149.45,33143064,"12,374,760,126.65",298083,368.15,-0.027857700734589486
32,18-Mar-2021,EQ,371.5,375.0,361.1,368.15,368.2,367.1,368.98,427.7,149.45,39405038,"14,539,539,833.05",285769,367.1,-0.0028561733119367716
33,19-Mar-2021,EQ,363.95,372.9,357.25,367.1,372.4,371.15,366.26,427.7,149.45,60309145,"22,088,637,777.60",400389,371.15,0.010972003060766511
34,22-Mar-2021,EQ,372.0,372.8,363.5,371.15,367.6,367.0,367.73,427.7,149.45,28461974,"10,466,193,186.85",242100,367.0,-0.011244445508984846
35,23-Mar-2021,EQ,368.7,377.95,367.05,367.0,372.3,372.7,372.08,427.7,149.45,41032380,"15,267,204,770.70",304725,372.7,0.015411958430641803
36,24-Mar-2021,EQ,368.5,369.05,358.65,372.7,360.1,359.85,363.63,427.7,149.45,42318999,"15,388,574,651.55",385721,359.85,-0.03508652853139882
37,25-Mar-2021,EQ,360.0,360.85,345.2,359.85,356.3,355.2,353.03,427.7,149.45,57495003,"20,297,200,346.20",438853,355.2,-0.013006266835798641
38,26-Mar-2021,EQ,360.0,362.0,354.55,355.2,358.5,357.2,358.14,427.7,149.45,40718848,"14,583,200,892.30",407233,357.2,0.005614837884328594
39,30-Mar-2021,EQ,360.1,364.3,356.3,357.2,360.5,360.8,360.57,427.7,149.45,39407496,"14,209,235,599.60",340842,360.8,0.010027939186125323
40,31-Mar-2021,EQ,360.3,367.85,357.95,360.8,364.5,364.3,363.98,427.7,149.45,38651025,"14,068,275,303.30",298129,364.3,0.009653915826048909
41,01-Apr-2021,EQ,367.7,371.9,363.1,364.3,370.95,370.65,367.07,427.7,149.45,31883453,"11,703,603,342.10",201211,370.65,0.01728051708821088
42,05-Apr-2021,EQ,367.5,369.2,349.05,370.65,354.0,353.55,355.21,427.7,149.45,51743981,"18,379,797,141.10",382160,353.55,-0.047233303052478526
43,06-Apr-2021,EQ,355.7,357.0,349.3,353.55,350.95,350.55,353.1,427.7,149.45,44147709,"15,588,499,051.85",273760,350.55,-0.00852156839727325
44,07-Apr-2021,EQ,351.25,363.2,347.6,350.55,358.2,358.55,358.22,427.7,149.45,48023602,"17,203,160,038.90",323113,358.55,0.022564770675606916
