,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,592.50","1,700.00","1,565.00","1,586.45","1,693.00","1,686.25","1,630.83","1,732.85",947.90,357549,"583,100,713.75",30957,1686.25,
1,02-Feb-2021,EQ,"1,700.00","1,830.00","1,698.95","1,686.25","1,814.95","1,818.85","1,778.30","1,830.00",947.90,1177367,"2,093,717,581.35",53187,1818.85,0.07569730470420666
2,03-Feb-2021,EQ,"1,802.00","1,852.00","1,782.10","1,818.85","1,799.70","1,795.00","1,811.77","1,852.00",947.90,856999,"1,552,684,469.85",39219,1795.0,-0.013199411303792985
3,04-Feb-2021,EQ,"1,795.10","1,878.00","1,790.10","1,795.00","1,851.85","1,849.30","1,846.45","1,878.00",947.90,775958,"1,432,766,755.15",39713,1849.3,0.029802167168451632
4,05-Feb-2021,EQ,"1,850.00","1,868.90","1,813.00","1,849.30","1,835.00","1,839.90","1,840.66","1,878.00",947.90,312898,"575,937,480.15",16546,1839.9,-0.0050959667907832795
5,08-Feb-2021,EQ,"1,837.55","1,887.00","1,832.05","1,839.90","1,878.00","1,879.25","1,870.72","1,887.00",947.90,420034,"785,765,293.00",18356,1879.25,0.02116153875753124
6,09-Feb-2021,EQ,"1,879.25","1,900.00","1,843.00","1,879.25","1,854.95","1,852.40","1,870.68","1,900.00",947.90,307510,"575,253,282.35",13829,1852.4,-0.014390665450981999
7,10-Feb-2021,EQ,"1,854.95","1,869.25","1,830.00","1,852.40","1,856.75","1,859.90","1,847.85","1,900.00",947.90,226598,"418,720,127.40",12307,1859.9,0.004040627214484616
8,11-Feb-2021,EQ,"1,858.40","1,876.25","1,840.00","1,859.90","1,842.00","1,844.75","1,856.01","1,900.00",947.90,201298,"373,611,992.65",10983,1844.75,-0.008178955882605088
9,12-Feb-2021,EQ,"1,850.00","1,888.00","1,820.05","1,844.75","1,820.05","1,846.15","1,862.68","1,900.00",947.90,381008,"709,696,045.95",19271,1846.15,0.0007586225945663827
