,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,596.0,599.4,579.6,586.2,593.0,590.15,589.43,628.0,312.0,12621971,"7,439,716,431.85",219511,590.15,
1,02-Feb-2021,EQ,596.95,616.9,591.5,590.15,609.85,609.45,605.09,628.0,312.0,15788247,"9,553,281,045.35",216023,609.45,0.03218016922676803
2,03-Feb-2021,EQ,612.5,648.4,610.5,609.45,628.55,629.2,634.62,648.4,312.0,23788455,"15,096,527,157.45",322256,629.2,0.031892260082276636
3,04-Feb-2021,EQ,632.5,641.0,626.25,629.2,632.95,631.5,634.75,648.4,312.0,7926593,"5,031,419,340.85",161793,631.5,0.003648770606423213
4,05-Feb-2021,EQ,633.5,644.25,623.15,631.5,637.0,634.75,634.95,648.4,312.0,10981738,"6,972,874,190.20",162460,634.75,0.005133278794241747
5,08-Feb-2021,EQ,640.9,644.85,632.55,634.75,633.95,634.65,638.49,648.4,312.0,6479801,"4,137,302,493.70",113802,634.65,-0.0001575547506016406
6,09-Feb-2021,EQ,631.9,639.25,621.0,634.65,623.05,623.6,631.12,648.4,312.0,5794015,"3,656,738,980.35",103088,623.6,-0.01756452865056435
7,10-Feb-2021,EQ,623.05,631.55,614.1,623.6,630.85,627.1,621.62,648.4,312.0,6902162,"4,290,525,924.20",116211,627.1,0.0055968803653536625
8,11-Feb-2021,EQ,622.0,648.75,622.0,627.1,643.6,643.65,639.84,648.75,312.0,11433578,"7,315,697,298.60",142011,643.65,0.0260490825566686
9,12-Feb-2021,EQ,654.4,654.4,622.35,643.65,628.5,627.15,633.45,654.4,312.0,15471776,"9,800,604,801.40",198400,627.15,-0.025969353634960335
10,15-Feb-2021,EQ,632.0,637.3,623.3,627.15,627.45,627.5,630.42,654.4,312.0,7310676,"4,608,807,100.75",96803,627.5,0.000557924535255161
11,16-Feb-2021,EQ,631.0,634.5,623.0,627.5,630.15,631.15,629.07,654.4,312.0,6137454,"3,860,889,391.55",97812,631.15,0.005799881192931622
12,17-Feb-2021,EQ,628.7,632.4,619.8,631.15,621.45,621.25,625.16,654.4,312.0,4700733,"2,938,690,933.65",84862,621.25,-0.01580997478803159
13,18-Feb-2021,EQ,622.0,627.25,614.1,621.25,616.0,616.05,619.38,654.4,312.0,5633766,"3,489,459,823.75",116906,616.05,-0.008405448340161215
14,19-Feb-2021,EQ,615.9,622.3,601.2,616.05,608.0,607.3,613.5,654.4,312.0,7301975,"4,479,763,718.75",104227,607.3,-0.014305226167147467
15,22-Feb-2021,EQ,608.0,610.85,590.4,607.3,591.5,595.3,602.79,654.4,312.0,5330343,"3,213,067,747.50",103930,595.3,-0.019957422744185216
16,23-Feb-2021,EQ,595.0,608.35,592.0,595.3,603.95,604.05,603.2,654.4,312.0,7564187,"4,562,727,889.25",133379,604.05,0.014591495806228316
17,24-Feb-2021,EQ,607.1,609.35,595.85,604.05,600.4,601.45,602.88,654.4,312.0,3296243,"1,987,223,170.30",68030,601.45,-0.004313569525491445
18,25-Feb-2021,EQ,606.4,618.9,602.7,601.45,611.15,609.55,613.67,654.4,312.0,6261754,"3,842,675,523.95",115363,609.55,0.013377573571073498
19,26-Feb-2021,EQ,604.95,621.35,590.0,609.55,595.45,594.6,608.62,654.4,312.0,15404415,"9,375,387,497.60",228435,594.6,-0.024832069447157323
20,01-Mar-2021,EQ,600.0,610.8,597.05,594.6,606.0,604.45,602.93,654.4,312.0,5274758,"3,180,312,580.10",93184,604.45,0.016430043084003643
21,02-Mar-2021,EQ,609.0,616.35,604.5,604.45,614.3,614.2,610.54,654.4,312.0,4776776,"2,916,418,360.05",84381,614.2,0.016001654358720252
22,03-Mar-2021,EQ,616.5,625.4,612.25,614.2,624.5,624.35,620.06,654.4,312.0,6626297,"4,108,703,932.80",100125,624.35,0.01639050055443292
23,04-Mar-2021,EQ,622.0,636.75,616.0,624.35,618.45,618.95,626.37,654.4,312.0,11530735,"7,222,511,383.30",145160,618.95,-0.008686614583335306
24,05-Mar-2021,EQ,619.45,619.45,606.9,618.95,611.0,611.2,613.05,654.4,312.0,6127488,"3,756,438,616.70",110170,611.2,-0.012600256125508302
25,08-Mar-2021,EQ,611.5,621.9,611.3,611.2,614.35,614.8,616.64,654.4,312.0,4554461,"2,808,484,810.05",76021,614.8,0.005872773812130028
26,09-Mar-2021,EQ,618.0,620.9,607.5,614.8,612.0,612.6,613.75,654.4,312.0,4035628,"2,476,863,214.05",81054,612.6,-0.0035848172657662047
27,10-Mar-2021,EQ,618.0,627.9,615.35,612.6,624.35,626.0,622.07,654.4,312.0,5825924,"3,624,108,916.35",97528,626.0,0.02163817670142354
28,12-Mar-2021,EQ,628.0,629.15,611.5,626.0,612.3,613.6,619.8,654.4,312.0,4264170,"2,642,944,356.45",74203,613.6,-0.020007121047052046
