,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,484.25,506.7,473.05,477.75,502.0,502.95,490.93,550.65,259.55,2987409,"1,466,611,401.45",34578,502.95,
1,02-Feb-2021,EQ,505.4,526.0,499.3,502.95,519.0,520.6,516.32,550.65,259.55,4520335,"2,333,960,104.55",61834,520.6,0.03449123098011775
2,03-Feb-2021,EQ,521.0,528.35,513.7,520.6,515.25,515.9,520.8,550.65,259.55,2325735,"1,211,248,937.80",34186,515.9,-0.009069044309860885
3,04-Feb-2021,EQ,515.9,552.9,515.0,515.9,550.5,548.55,539.41,552.9,259.55,7497030,"4,043,971,816.45",100618,548.55,0.06136548501289596
4,05-Feb-2021,EQ,553.9,561.15,534.6,548.55,553.55,553.3,549.5,561.15,259.55,5254268,"2,887,214,835.10",78582,553.3,0.008621916640564109
5,08-Feb-2021,EQ,558.0,570.4,545.1,553.3,551.25,551.45,558.36,570.4,259.55,6138525,"3,427,519,966.55",88795,551.45,-0.0033491771519083002
6,09-Feb-2021,EQ,524.0,548.4,513.4,551.45,527.3,528.2,528.27,570.4,259.55,11075085,"5,850,680,867.55",193272,528.2,-0.043076172889123576
7,10-Feb-2021,EQ,531.0,545.0,522.2,528.2,527.8,526.0,532.89,570.4,259.55,4216997,"2,247,199,361.50",53882,526.0,-0.004173787125322015
8,11-Feb-2021,EQ,529.0,530.45,514.0,526.0,522.7,516.8,521.66,570.4,259.55,2700243,"1,408,601,856.45",41933,516.8,-0.01764526026931801
9,12-Feb-2021,EQ,524.8,529.0,508.3,516.8,514.0,511.85,516.4,570.4,259.55,4550068,"2,349,643,029.05",60748,511.85,-0.00962433910261229
10,15-Feb-2021,EQ,518.0,521.75,510.1,511.85,518.0,518.95,516.75,570.4,259.55,2158240,"1,115,260,379.75",35291,518.95,0.01377592604551836
11,16-Feb-2021,EQ,520.1,523.5,514.0,518.95,515.0,516.3,518.14,570.4,259.55,1569320,"813,131,604.05",23454,516.3,-0.0051195475256946565
12,17-Feb-2021,EQ,512.0,528.0,508.25,516.3,521.0,525.25,519.97,570.4,259.55,3107983,"1,616,053,277.20",42862,525.25,0.017186347839506233
13,18-Feb-2021,EQ,526.0,529.0,512.8,525.25,514.75,515.4,519.69,570.4,259.55,2087248,"1,084,725,535.80",33009,515.4,-0.018931041506845325
14,19-Feb-2021,EQ,513.8,520.75,497.65,515.4,504.25,504.1,507.25,570.4,259.55,2538376,"1,287,591,595.75",35959,504.1,-0.022168637129679425
15,22-Feb-2021,EQ,503.8,507.35,491.0,504.1,492.55,494.95,497.59,570.4,259.55,1559495,"775,995,839.90",25803,494.95,-0.018317913722768253
16,23-Feb-2021,EQ,497.1,505.85,495.0,494.95,497.05,498.25,499.84,570.4,259.55,1639909,"819,693,909.25",28265,498.25,0.006645211727087208
17,24-Feb-2021,EQ,500.9,503.0,491.55,498.25,498.9,497.85,498.86,570.4,259.55,847307,"422,689,582.10",15141,497.85,-0.0008031322588104572
18,25-Feb-2021,EQ,500.8,521.5,499.15,497.85,512.75,511.5,512.78,570.4,259.55,3364534,"1,725,268,333.40",47514,511.5,0.027048758557588037
19,26-Feb-2021,EQ,509.8,510.95,490.7,511.5,492.15,493.2,501.44,570.4,259.55,1803320,"904,263,092.15",35218,493.2,-0.03643281410149246
20,01-Mar-2021,EQ,498.7,513.55,497.65,493.2,505.3,504.9,505.33,570.4,259.55,1956349,"988,596,408.80",31644,504.9,0.02344561857468097
21,02-Mar-2021,EQ,507.4,516.75,503.05,504.9,510.35,513.3,511.25,570.4,259.55,2815702,"1,439,525,014.65",32430,513.3,0.01650007970138745
22,03-Mar-2021,EQ,515.1,520.15,505.25,513.3,506.5,506.4,509.98,570.4,259.55,2301946,"1,173,954,170.50",28248,506.4,-0.013533598736291452
23,04-Mar-2021,EQ,503.9,518.85,499.0,506.4,513.3,511.3,511.43,570.4,259.55,2425922,"1,240,694,444.70",28181,511.3,0.00962963125598737
24,05-Mar-2021,EQ,511.7,530.7,501.25,511.3,506.05,506.1,519.56,570.4,259.55,8254835,"4,288,862,391.10",94662,506.1,-0.010222223865921087
25,08-Mar-2021,EQ,508.95,513.4,499.0,506.1,501.0,502.0,506.06,570.4,259.55,1694585,"857,564,332.20",33145,502.0,-0.008134158528303459
26,09-Mar-2021,EQ,505.0,507.5,490.0,502.0,490.95,491.05,494.3,570.4,259.55,2180349,"1,077,754,105.45",37215,491.05,-0.022054164087945693
27,10-Mar-2021,EQ,494.0,496.5,486.5,491.05,488.9,489.0,490.67,570.4,259.55,1793946,"880,235,468.90",25108,489.0,-0.004183466128910851
28,12-Mar-2021,EQ,497.95,499.0,485.2,489.0,486.0,486.25,490.8,570.4,259.55,1374479,"674,601,044.60",20867,486.25,-0.005639594542215853
29,15-Mar-2021,EQ,489.4,489.5,474.0,486.25,479.8,482.3,479.55,570.4,259.55,1392144,"667,600,750.25",25176,482.3,-0.008156567857730224
30,16-Mar-2021,EQ,484.0,491.0,475.0,482.3,477.0,477.25,483.82,570.4,259.55,1208892,"584,889,050.50",20043,477.25,-0.010525864469069113
