,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,573.0,573.95,558.0,566.4,563.9,561.65,562.91,644.55,212.55,555172,"312,514,500.90",22707,561.65,
1,02-Feb-2021,EQ,564.75,571.75,562.05,561.65,564.0,566.4,568.62,644.55,212.55,616440,"350,519,698.70",17705,566.4,0.008421662291931753
2,03-Feb-2021,EQ,568.2,584.8,566.4,566.4,578.95,577.4,576.64,644.55,212.55,439912,"253,668,906.30",17693,577.4,0.019234724849324536
3,04-Feb-2021,EQ,579.8,583.95,566.05,577.4,569.2,569.65,574.84,644.55,212.55,264181,"151,862,876.35",22239,569.65,-0.013513130084709779
4,05-Feb-2021,EQ,571.8,580.75,568.2,569.65,577.45,577.4,575.78,644.55,212.55,695916,"400,697,226.80",31148,577.4,0.013513130084709779
5,08-Feb-2021,EQ,580.0,585.0,575.15,577.4,580.0,580.75,580.52,644.55,212.55,308549,"179,118,212.15",22384,580.75,0.005785104421684117
6,09-Feb-2021,EQ,584.95,590.0,573.0,580.75,582.0,584.5,581.97,644.55,212.55,323091,"188,029,590.40",20390,584.5,0.006436409261604936
7,10-Feb-2021,EQ,585.1,586.0,568.0,584.5,574.95,574.2,573.54,644.55,212.55,330757,"189,700,841.40",24181,574.2,-0.017779013225159623
8,11-Feb-2021,EQ,578.0,587.85,574.95,574.2,583.95,584.4,581.76,644.55,212.55,336470,"195,745,037.75",20120,584.4,0.017607912189580688
9,12-Feb-2021,EQ,585.0,589.35,578.4,584.4,581.95,582.15,581.91,644.55,212.55,396039,"230,457,921.85",31992,582.15,-0.0038575333935195744
10,15-Feb-2021,EQ,586.75,603.75,579.2,582.15,589.1,590.0,593.53,644.55,212.55,573941,"340,653,123.45",23098,590.0,0.013394390416739732
11,16-Feb-2021,EQ,593.9,599.0,585.6,590.0,593.0,591.9,591.98,644.55,212.55,383214,"226,855,176.90",19681,591.9,0.003215164796914749
12,17-Feb-2021,EQ,593.8,596.9,587.8,591.9,591.0,590.7,591.99,644.55,212.55,234829,"139,016,415.40",12404,590.7,-0.002029427383489768
13,18-Feb-2021,EQ,593.8,593.8,585.1,590.7,591.5,589.2,588.4,644.55,212.55,270504,"159,164,952.85",13054,589.2,-0.002542589724714439
14,19-Feb-2021,EQ,590.0,592.8,575.2,589.2,579.0,580.0,586.54,644.55,212.55,305143,"178,979,881.85",14875,580.0,-0.015737581048010263
15,22-Feb-2021,EQ,580.0,581.8,553.0,580.0,553.5,555.5,560.92,644.55,212.55,558581,"313,320,170.55",28733,555.5,-0.043159494460780046
16,23-Feb-2021,EQ,560.5,567.0,552.6,555.5,561.0,561.35,560.18,644.55,212.55,318206,"178,254,065.80",19481,561.35,0.01047598782510395
17,24-Feb-2021,EQ,564.0,570.0,558.3,561.35,565.0,567.9,564.42,644.55,212.55,111133,"62,725,320.70",6688,567.9,0.011600749978597946
18,25-Feb-2021,EQ,567.85,572.3,558.05,567.9,562.4,562.0,562.14,644.55,212.55,333520,"187,485,624.05",9973,562.0,-0.010443496989696044
19,26-Feb-2021,EQ,564.95,564.95,553.2,562.0,559.0,559.15,557.4,644.55,212.55,307381,"171,333,359.10",16829,559.15,-0.0050840764194939325
20,01-Mar-2021,EQ,564.0,567.8,556.0,559.15,558.0,558.15,559.27,644.55,212.55,302038,"168,919,958.55",10843,558.15,-0.001790030013455457
21,02-Mar-2021,EQ,558.8,569.0,550.1,558.15,552.0,552.5,557.49,644.55,212.55,459626,"256,238,506.80",25599,552.5,-0.010174310068833847
22,03-Mar-2021,EQ,555.0,556.75,550.1,552.5,551.2,550.8,551.52,644.55,212.55,389115,"214,606,215.30",14417,550.8,-0.0030816665374082675
