,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"2,625.90","2,625.90","2,499.25","2,608.15","2,538.00","2,534.10","2,533.56","3,031.20","1,583.25",670793,"1,699,491,788.05",43516,2534.1,
1,02-Feb-2021,EQ,"2,553.00","2,585.30","2,519.30","2,534.10","2,582.00","2,571.55","2,551.89","3,031.20","1,583.25",561350,"1,432,505,873.80",24292,2571.55,0.014670285528715965
2,03-Feb-2021,EQ,"2,562.00","2,712.00","2,562.00","2,571.55","2,674.95","2,677.05","2,664.51","3,031.20","1,583.25",715059,"1,905,280,575.55",33329,2677.05,0.040206612039857426
3,04-Feb-2021,EQ,"2,700.00","2,726.00","2,647.60","2,677.05","2,679.10","2,681.60","2,692.99","3,031.20","1,583.25",365087,"983,175,313.30",14413,2681.6,0.0016981893176302165
4,05-Feb-2021,EQ,"2,681.70","2,765.00","2,637.45","2,681.60","2,765.00","2,752.05","2,708.87","3,031.20","1,583.25",349538,"946,853,082.85",23286,2752.05,0.025932457205074755
5,08-Feb-2021,EQ,"2,795.00","2,802.90","2,730.00","2,752.05","2,749.00","2,757.95","2,760.46","3,031.20","1,583.25",432228,"1,193,149,519.90",21571,2757.95,0.0021415616170319396
6,09-Feb-2021,EQ,"2,700.00","2,700.05","2,545.00","2,757.95","2,584.00","2,582.25","2,584.92","3,031.20","1,583.25",2557483,"6,610,887,186.05",154146,2582.25,-0.06582653822312778
7,10-Feb-2021,EQ,"2,595.80","2,605.00","2,542.45","2,582.25","2,589.00","2,586.10","2,571.74","3,031.20","1,583.25",875894,"2,252,574,750.00",46569,2586.1,0.0014898374576510776
8,11-Feb-2021,EQ,"2,586.00","2,614.00","2,574.95","2,586.10","2,606.85","2,608.75","2,599.90","3,031.20","1,583.25",403576,"1,049,258,433.05",17725,2608.75,0.008720230047016386
9,12-Feb-2021,EQ,"2,617.00","2,635.00","2,595.00","2,608.75","2,595.25","2,601.85","2,612.31","3,031.20","1,583.25",431785,"1,127,957,930.85",19710,2601.85,-0.0026484489437725856
10,15-Feb-2021,EQ,"2,599.80","2,622.90","2,575.25","2,601.85","2,604.65","2,606.30","2,600.57","3,031.20","1,583.25",349795,"909,665,245.05",12575,2606.3,0.0017088605677288982
11,16-Feb-2021,EQ,"2,610.00","2,619.00","2,575.00","2,606.30","2,589.85","2,588.80","2,590.15","3,031.20","1,583.25",175989,"455,837,368.50",10009,2588.8,-0.006737143151194225
12,17-Feb-2021,EQ,"2,587.70","2,600.00","2,525.05","2,588.80","2,545.00","2,538.20","2,559.91","3,031.20","1,583.25",322019,"824,340,657.05",15671,2538.2,-0.019739279488108608
13,18-Feb-2021,EQ,"2,545.00","2,564.00","2,484.00","2,538.20","2,523.00","2,521.20","2,512.98","3,031.20","1,583.25",333066,"836,987,542.35",16378,2521.2,-0.0067201897371091945
14,19-Feb-2021,EQ,"2,501.00","2,531.95","2,458.90","2,521.20","2,494.95","2,497.00","2,497.33","3,031.20","1,583.25",337660,"843,247,158.90",17574,2497.0,-0.009644967359180967
15,22-Feb-2021,EQ,"2,501.00","2,501.65","2,428.00","2,497.00","2,430.00","2,451.80","2,474.38","3,031.20","1,583.25",310866,"769,199,450.95",13603,2451.8,-0.018267562618879296
16,23-Feb-2021,EQ,"2,451.00","2,465.00","2,420.20","2,451.80","2,422.00","2,425.40","2,438.10","3,031.20","1,583.25",337498,"822,853,163.85",18911,2425.4,-0.01082598943820301
17,24-Feb-2021,EQ,"2,430.00","2,488.00","2,425.00","2,425.40","2,470.00","2,477.80","2,447.67","3,031.20","1,583.25",156074,"382,017,266.50",11515,2477.8,0.021374610458947174
18,25-Feb-2021,EQ,"2,490.00","2,523.00","2,461.50","2,477.80","2,463.00","2,467.50","2,485.98","3,031.20","1,583.25",385483,"958,304,943.40",24624,2467.5,-0.004165577374001472
19,26-Feb-2021,EQ,"2,430.00","2,489.15","2,401.40","2,467.50","2,417.00","2,428.20","2,442.45","3,031.20","1,583.25",429637,"1,049,367,731.50",28562,2428.2,-0.016055250197761772
20,01-Mar-2021,EQ,"2,406.80","2,450.00","2,400.00","2,428.20","2,430.50","2,439.70","2,424.92","3,031.20","1,583.25",375900,"911,527,961.15",25372,2439.7,0.004724838798628284
21,02-Mar-2021,EQ,"2,450.00","2,488.70","2,421.05","2,439.70","2,467.05","2,470.15","2,444.62","3,031.20","1,583.25",454781,"1,111,765,080.95",37468,2470.15,0.012403796614543161
22,03-Mar-2021,EQ,"2,485.00","2,504.95","2,454.50","2,470.15","2,495.00","2,497.35","2,474.19","3,031.20","1,583.25",401553,"993,516,893.80",13614,2497.35,0.010951292135923829
23,04-Mar-2021,EQ,"2,495.00","2,513.90","2,468.05","2,497.35","2,501.85","2,496.40","2,494.69","3,031.20","1,583.25",234847,"585,870,069.90",17333,2496.4,-0.0003804755990826081
24,05-Mar-2021,EQ,"2,496.00","2,515.00","2,455.20","2,496.40","2,471.00","2,481.70","2,485.04","3,031.20","1,583.25",192234,"477,710,042.70",14563,2481.7,-0.005905884866649558
25,08-Mar-2021,EQ,"2,481.70","2,504.75","2,456.90","2,481.70","2,475.00","2,480.10","2,480.52","3,031.20","1,583.25",125322,"310,863,502.00",7239,2480.1,-0.0006449272664985628
26,09-Mar-2021,EQ,"2,488.25","2,493.20","2,433.05","2,480.10","2,443.00","2,441.90","2,448.49","3,031.20","1,583.25",217369,"532,225,648.95",13515,2441.9,-0.015522457135515921
27,10-Mar-2021,EQ,"2,450.00","2,454.45","2,412.00","2,441.90","2,443.40","2,445.20","2,432.03","3,031.20","1,583.25",540070,"1,313,466,650.25",33348,2445.2,0.0013504943633462219
28,12-Mar-2021,EQ,"2,455.25","2,488.00","2,438.50","2,445.20","2,470.00","2,461.20","2,462.33","3,031.20","1,583.25",251501,"619,278,301.55",20167,2461.2,0.006522116711765058
29,15-Mar-2021,EQ,"2,470.00","2,473.50","2,417.50","2,461.20","2,444.95","2,431.00","2,434.59","3,031.20","1,583.25",149542,"364,074,163.70",12880,2431.0,-0.012346340550211998
30,16-Mar-2021,EQ,"2,438.00","2,480.80","2,430.00","2,431.00","2,466.00","2,470.85","2,465.75","3,031.20","1,583.25",174924,"431,318,946.95",13787,2470.85,0.01625952566156119
