,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,314.7,315.35,304.15,308.8,309.4,307.45,307.6,368.9,231.95,1786964,"549,663,480.35",17239,307.45,
1,02-Feb-2021,EQ,311.5,318.0,308.55,307.45,315.5,314.85,312.97,368.9,231.95,2270968,"710,754,905.30",19528,314.85,0.023783862535273315
2,03-Feb-2021,EQ,317.0,326.4,313.95,314.85,322.85,322.65,320.74,368.9,231.95,1019000,"326,835,591.20",12467,322.65,0.024471809447097037
3,04-Feb-2021,EQ,321.8,327.0,320.0,322.65,320.45,321.15,322.55,368.9,231.95,2326160,"750,312,129.55",12244,321.15,-0.004659840678047367
4,05-Feb-2021,EQ,321.9,322.25,316.4,321.15,319.0,318.5,318.83,368.9,231.95,1528572,"487,356,772.15",10089,318.5,-0.008285828691583674
5,08-Feb-2021,EQ,319.85,324.9,319.0,318.5,323.0,322.6,323.22,368.9,231.95,1337801,"432,409,752.65",14160,322.6,0.012790690678890826
6,09-Feb-2021,EQ,323.0,331.75,322.2,322.6,327.0,326.0,326.13,368.9,231.95,2018962,"658,452,626.50",21175,326.0,0.010484215675599096
7,10-Feb-2021,EQ,323.75,335.7,315.1,326.0,330.35,330.5,329.98,368.9,231.95,3692386,"1,218,404,410.95",42248,330.5,0.013709277925033625
8,11-Feb-2021,EQ,328.4,334.5,327.5,330.5,332.6,333.9,332.47,368.9,231.95,1067865,"355,032,339.60",12545,333.9,0.01023488765786773
9,12-Feb-2021,EQ,333.0,337.0,325.7,333.9,328.9,329.35,331.05,368.9,231.95,1227410,"406,337,866.25",11898,329.35,-0.013720531862906782
10,15-Feb-2021,EQ,331.0,335.0,327.55,329.35,333.0,333.35,332.67,368.9,231.95,1175165,"390,939,671.85",13127,333.35,0.012071973977366923
11,16-Feb-2021,EQ,329.95,346.9,327.85,333.35,345.8,345.05,341.68,368.9,231.95,5483054,"1,873,449,571.75",48492,345.05,0.03449634500254195
12,17-Feb-2021,EQ,345.75,353.9,342.25,345.05,344.9,345.45,349.44,368.9,231.95,4874185,"1,703,244,531.00",45743,345.45,0.001158580868192871
13,18-Feb-2021,EQ,345.0,375.75,342.75,345.45,375.0,372.8,364.12,375.75,231.95,4841048,"1,762,730,692.75",45083,372.8,0.0761941678766318
14,19-Feb-2021,EQ,374.9,378.0,360.35,372.8,364.9,365.4,370.38,378.0,231.95,2710274,"1,003,833,054.45",31189,365.4,-0.02004943886752919
15,22-Feb-2021,EQ,371.0,385.6,368.0,365.4,379.0,380.25,377.9,385.6,231.95,9015836,"3,407,075,903.65",114407,380.25,0.039836287195495146
16,23-Feb-2021,EQ,383.0,384.05,369.1,380.25,370.8,370.0,376.14,385.6,231.95,2912324,"1,095,442,681.90",37039,370.0,-0.027325925501131998
17,24-Feb-2021,EQ,370.0,383.65,362.05,370.0,368.95,368.8,366.61,385.6,231.95,2100901,"770,210,410.45",26179,368.8,-0.003248513955830923
18,25-Feb-2021,EQ,369.55,395.75,365.8,368.8,394.0,393.25,385.19,395.75,231.95,5586051,"2,151,668,022.65",63375,393.25,0.06419105025594796
19,26-Feb-2021,EQ,382.0,392.3,374.2,393.25,379.75,381.8,382.59,395.75,231.95,2677311,"1,024,299,865.95",34304,381.8,-0.029548630646739404
20,01-Mar-2021,EQ,385.0,388.45,379.65,381.8,387.55,385.15,384.33,395.75,231.95,1376124,"528,889,446.45",22800,385.15,0.008735957507327363
21,02-Mar-2021,EQ,390.0,395.5,384.85,385.15,389.95,388.95,389.96,395.75,231.95,1463776,"570,816,577.20",19946,388.95,0.009817931853808304
22,03-Mar-2021,EQ,394.15,409.0,391.55,388.95,405.0,404.75,403.64,409.0,231.95,3176233,"1,282,046,314.35",36683,404.75,0.039818791904961515
23,04-Mar-2021,EQ,397.0,429.7,395.4,404.75,414.9,417.5,417.04,429.7,231.95,5802085,"2,419,703,171.40",68633,417.5,0.03101495173316593
24,05-Mar-2021,EQ,410.25,417.9,399.0,417.5,406.05,403.55,407.52,429.7,231.95,2234595,"910,642,149.30",31238,403.55,-0.033984148520529445
25,08-Mar-2021,EQ,407.0,420.5,406.75,403.55,418.1,417.2,415.49,429.7,231.95,1617572,"672,087,102.60",29194,417.2,0.03326532735623644
