,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,560.65,586.95,552.85,560.7,576.95,577.2,566.79,589.75,240.1,6530121,"3,701,186,327.55",76984,577.2,
1,02-Feb-2021,EQ,582.75,626.4,582.75,577.2,622.5,620.9,610.06,626.4,240.1,13069121,"7,972,975,868.90",137929,620.9,0.07298121147113079
2,03-Feb-2021,EQ,628.75,649.85,612.6,620.9,644.0,644.85,635.06,649.85,240.1,6701068,"4,255,563,900.10",86365,644.85,0.03784769323955306
3,04-Feb-2021,EQ,644.0,658.0,637.3,644.85,654.7,652.95,649.78,658.0,240.1,5611431,"3,646,199,461.80",74628,652.95,0.012482825056016722
4,05-Feb-2021,EQ,652.5,653.95,622.2,652.95,628.7,628.3,634.8,658.0,240.1,3608600,"2,290,735,328.25",55857,628.3,-0.038482797257515244
5,08-Feb-2021,EQ,629.1,644.7,629.1,628.3,640.05,640.65,639.86,658.0,240.1,2309238,"1,477,590,764.40",44084,640.65,0.019465526546683876
6,09-Feb-2021,EQ,642.05,659.9,641.6,640.65,646.8,650.1,650.92,659.9,240.1,4238824,"2,759,136,486.75",54248,650.1,0.014642911254838076
7,10-Feb-2021,EQ,649.95,656.55,638.55,650.1,652.5,652.8,646.01,659.9,240.1,2337229,"1,509,864,685.05",32064,652.8,0.004144606439473897
8,11-Feb-2021,EQ,646.9,655.95,636.6,652.8,638.9,638.85,646.63,659.9,240.1,1448318,"936,523,901.75",23817,638.85,-0.02160111861256464
9,12-Feb-2021,EQ,636.0,649.6,632.7,638.85,642.5,636.45,642.03,659.9,240.1,2704746,"1,736,522,244.45",39738,636.45,-0.0037638247208890974
10,15-Feb-2021,EQ,641.0,642.55,628.35,636.45,632.05,630.7,635.21,659.9,240.1,1622219,"1,030,450,421.05",30558,630.7,-0.009075546646838184
11,16-Feb-2021,EQ,633.0,642.0,623.2,630.7,629.0,628.85,632.99,659.9,240.1,1943169,"1,230,004,810.25",32917,628.85,-0.002937559176440452
12,17-Feb-2021,EQ,628.9,631.55,615.75,628.85,617.8,618.7,623.22,659.9,240.1,1891118,"1,178,581,263.50",32003,618.7,-0.01627225195622195
13,18-Feb-2021,EQ,626.0,626.0,610.0,618.7,611.05,611.95,614.92,659.9,240.1,1585892,"975,189,772.45",29181,611.95,-0.010969922708595092
14,19-Feb-2021,EQ,611.95,618.3,598.7,611.95,608.0,606.25,609.64,659.9,240.1,2299305,"1,401,756,087.15",62269,606.25,-0.009358137576654713
15,22-Feb-2021,EQ,609.8,609.8,580.5,606.25,581.05,587.6,589.8,659.9,240.1,2439920,"1,439,075,958.95",38630,587.6,-0.031245997951971027
16,23-Feb-2021,EQ,585.0,601.0,584.3,587.6,598.35,597.05,595.2,659.9,240.1,2343076,"1,394,590,763.35",31860,597.05,0.015954417679671984
17,24-Feb-2021,EQ,603.35,605.0,585.0,597.05,598.55,599.95,600.59,659.9,240.1,1181173,"709,403,513.15",21322,599.95,0.004845456431003647
18,25-Feb-2021,EQ,602.0,609.7,592.85,599.95,598.0,596.1,602.45,659.9,240.1,2113293,"1,273,157,007.40",35797,596.1,-0.006437880184516409
19,26-Feb-2021,EQ,590.4,598.0,587.55,596.1,594.6,594.75,592.52,659.9,240.1,2088159,"1,237,269,150.05",33210,594.75,-0.002267289042814369
20,01-Mar-2021,EQ,610.0,620.85,595.6,594.75,617.0,616.55,612.75,659.9,240.1,5284375,"3,237,987,980.35",77414,616.55,0.03599827313347248
21,02-Mar-2021,EQ,620.0,634.9,609.0,616.55,630.55,632.4,624.05,659.9,240.1,2775784,"1,732,222,924.55",38507,632.4,0.025382683018777996
22,03-Mar-2021,EQ,632.65,635.7,623.0,632.4,626.45,626.7,626.38,659.9,240.1,2198525,"1,377,110,515.30",26816,626.7,-0.00905414810468752
23,04-Mar-2021,EQ,621.75,634.6,615.9,626.7,617.0,618.3,625.63,659.9,240.1,1548477,"968,779,159.55",22373,618.3,-0.013494180666106637
24,05-Mar-2021,EQ,613.0,628.6,612.7,618.3,620.0,618.95,622.2,659.9,240.1,2112801,"1,314,581,281.30",25309,618.95,0.0010507174132960984
25,08-Mar-2021,EQ,620.8,626.2,599.25,618.95,602.0,601.4,611.95,659.9,240.1,3408853,"2,086,033,929.40",46294,601.4,-0.02876422342339069
26,09-Mar-2021,EQ,607.0,610.0,595.0,601.4,599.0,597.8,600.58,659.9,240.1,1766755,"1,061,083,442.05",34734,597.8,-0.006004020704590829
27,10-Mar-2021,EQ,602.55,617.65,599.6,597.8,604.9,603.15,607.33,659.9,240.1,2342196,"1,422,495,699.05",37252,603.15,0.008909672161554916
28,12-Mar-2021,EQ,609.0,609.0,580.5,603.15,585.2,584.2,593.25,659.9,240.1,1975870,"1,172,193,954.20",31203,584.2,-0.031922532057752306
29,15-Mar-2021,EQ,587.6,594.0,581.0,584.2,592.6,592.35,587.3,659.9,240.1,1440746,"846,150,476.30",25442,592.35,0.013854286447127606
30,16-Mar-2021,EQ,596.0,598.5,587.0,592.35,594.2,594.3,592.53,659.9,240.1,1378743,"816,947,832.75",18479,594.3,0.0032865659718472884
31,17-Mar-2021,EQ,594.0,594.0,573.35,594.3,582.0,577.7,580.41,659.9,240.1,1292779,"750,338,533.55",18632,577.7,-0.028329539585395302
32,18-Mar-2021,EQ,582.0,586.95,565.0,577.7,572.05,571.0,576.6,659.9,240.1,1285083,"740,983,768.80",20446,571.0,-0.011665493131209459
33,19-Mar-2021,EQ,563.0,590.1,561.45,571.0,587.0,584.05,576.93,659.9,240.1,2357434,"1,360,063,269.60",30681,584.05,0.02259738594569427
34,22-Mar-2021,EQ,585.8,590.4,576.0,584.05,580.5,580.2,581.83,659.9,240.1,1537729,"894,696,616.65",28521,580.2,-0.006613723914401071
35,23-Mar-2021,EQ,580.0,586.35,575.25,580.2,578.5,579.05,580.23,659.9,240.1,1240534,"719,790,270.20",17656,579.05,-0.001984042056917268
36,24-Mar-2021,EQ,576.4,579.85,562.1,579.05,566.85,566.7,569.6,659.9,240.1,1340156,"763,356,910.55",23126,566.7,-0.02155876645481314
37,25-Mar-2021,EQ,569.7,569.7,541.15,566.7,560.0,558.25,552.71,659.9,240.1,1982891,"1,095,956,650.20",37584,558.25,-0.015023172455306266
38,26-Mar-2021,EQ,562.1,573.6,559.05,558.25,572.05,570.65,568.07,659.9,240.1,801258,"455,173,220.90",12894,570.65,0.02196917127934217
39,30-Mar-2021,EQ,578.0,581.85,563.7,570.65,574.0,575.2,573.14,659.9,240.1,2100267,"1,203,737,357.20",34424,575.2,0.007941744407228057
40,31-Mar-2021,EQ,578.7,589.0,572.1,575.2,584.05,585.05,583.36,659.9,240.1,1575132,"918,871,538.45",30904,585.05,0.0169795072581298
41,01-Apr-2021,EQ,592.8,593.0,582.25,585.05,587.0,589.2,588.85,659.9,240.1,1284339,"756,283,190.60",26752,589.2,0.007068370923508205
42,05-Apr-2021,EQ,590.6,593.05,568.5,589.2,588.4,584.25,580.61,659.9,240.1,1782479,"1,034,928,762.75",31609,584.25,-0.008436711169507838
43,06-Apr-2021,EQ,589.0,590.5,568.0,584.25,574.0,570.8,575.71,659.9,240.1,1462689,"842,090,030.30",25229,570.8,-0.023290087816286054
44,07-Apr-2021,EQ,572.05,579.0,567.05,570.8,571.0,569.2,574.37,659.9,240.1,1971063,"1,132,127,193.50",26147,569.2,-0.002807019386984244
45,08-Apr-2021,EQ,574.45,574.45,562.15,569.2,563.2,564.1,568.23,659.9,240.1,1133942,"644,334,616.20",19014,564.1,-0.009000325469767034
46,09-Apr-2021,EQ,561.25,571.25,557.5,564.1,568.35,568.0,566.01,659.9,240.1,1638045,"927,142,586.75",34727,568.0,0.006889877975221559
47,12-Apr-2021,EQ,559.8,559.8,532.7,568.0,538.95,538.9,544.48,659.9,265.2,1066608,"580,745,399.65",26468,538.9,-0.05259139378170108
48,13-Apr-2021,EQ,541.0,549.8,533.8,538.9,548.9,547.95,543.64,659.9,265.2,1372141,"745,955,028.60",30929,547.95,0.016654016969950725
49,15-Apr-2021,EQ,546.2,552.25,532.15,547.95,542.9,542.6,541.26,659.9,265.2,980528,"530,716,923.95",17216,542.6,-0.009811641684569494
50,16-Apr-2021,EQ,540.0,559.4,537.0,542.6,550.5,551.05,553.94,659.9,265.2,1867109,"1,034,268,503.95",29120,551.05,0.015453148912719428
51,19-Apr-2021,EQ,542.2,542.2,527.8,551.05,539.0,539.2,535.49,659.9,289.05,1029456,"551,266,938.20",21528,539.2,-0.021738989539453968
52,20-Apr-2021,EQ,544.0,547.55,532.8,539.2,537.75,536.95,539.93,659.9,289.05,1292480,"697,846,113.00",22438,536.95,-0.004181579293871529
53,22-Apr-2021,EQ,528.15,536.35,523.65,536.95,532.15,533.85,529.47,659.9,289.05,1465204,"775,783,660.50",41384,533.85,-0.005790079679914406
54,23-Apr-2021,EQ,533.0,538.0,528.0,533.85,532.75,532.8,532.44,659.9,289.05,1411440,"751,501,075.55",22147,532.8,-0.001968781398131725
55,26-Apr-2021,EQ,533.0,555.1,530.25,532.8,553.9,552.7,546.41,659.9,291.35,2031184,"1,109,854,891.30",33705,552.7,0.036669239613037696
56,27-Apr-2021,EQ,552.0,571.55,546.3,552.7,569.5,566.3,559.94,659.9,291.35,2743217,"1,536,026,962.65",57113,566.3,0.02430861428054154
57,28-Apr-2021,EQ,605.0,664.0,597.0,566.3,649.0,645.8,641.67,664.0,291.35,39663387,"25,450,647,659.90",401855,645.8,0.13136588520441617
58,29-Apr-2021,EQ,652.0,652.25,631.0,645.8,632.35,633.75,639.29,664.0,291.35,7575455,"4,842,941,248.20",104397,633.75,-0.018835303418781812
59,30-Apr-2021,EQ,628.0,640.0,622.05,633.75,630.95,630.9,633.28,664.0,291.35,3096434,"1,960,911,338.10",52360,630.9,-0.004507183528629
60,03-May-2021,EQ,618.0,637.35,613.7,630.9,616.85,616.1,624.11,664.0,300.55,3974544,"2,480,538,484.30",61357,616.1,-0.02373808335623906
61,04-May-2021,EQ,623.25,623.25,606.85,616.1,607.1,608.5,615.64,664.0,300.55,2206509,"1,358,406,554.75",40580,608.5,-0.012412375592942837
62,05-May-2021,EQ,610.0,617.8,602.6,608.5,604.9,603.85,608.6,664.0,300.55,1664630,"1,013,088,204.55",28183,603.85,-0.007671089706198231
63,06-May-2021,EQ,604.45,630.3,604.0,603.85,625.55,625.85,621.86,664.0,300.55,4754587,"2,956,670,907.05",96124,625.85,0.035784903052648254
64,07-May-2021,EQ,632.0,632.0,613.4,625.85,617.05,618.15,618.2,664.0,300.55,1724619,"1,066,160,674.65",23593,618.15,-0.012379579321096124
65,10-May-2021,EQ,624.0,624.65,610.05,618.15,613.5,611.55,614.15,664.0,300.55,1429005,"877,617,557.65",19083,611.55,-0.010734428519564077
