,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,31.7,32.45,31.1,31.05,32.25,32.3,31.82,52.4,22.65,14589144,"464,258,871.95",24537,32.3,
1,02-Feb-2021,EQ,32.85,34.1,32.6,32.3,32.95,33.05,33.34,52.4,22.65,21319402,"710,738,177.40",33781,33.05,0.022954336069084036
2,03-Feb-2021,EQ,33.1,34.0,32.5,33.05,33.6,33.65,33.36,52.4,22.65,13633258,"454,782,549.40",21238,33.65,0.01799148979304155
3,04-Feb-2021,EQ,33.6,34.9,33.2,33.65,34.45,34.55,34.33,52.4,22.65,29593973,"1,015,905,948.10",41626,34.55,0.02639449412294237
4,05-Feb-2021,EQ,35.0,36.3,34.6,34.55,34.75,34.8,35.48,52.4,22.65,28208919,"1,000,992,502.25",41021,34.8,0.007209836566749672
5,08-Feb-2021,EQ,35.1,35.4,33.9,34.8,34.0,34.0,34.42,52.4,22.65,10724204,"369,116,334.60",17825,34.0,-0.023256862164267034
6,09-Feb-2021,EQ,34.1,34.65,33.2,34.0,33.75,33.75,33.99,52.4,22.65,12277388,"417,328,947.80",18683,33.75,-0.007380107297622729
7,10-Feb-2021,EQ,33.6,34.1,33.4,33.75,33.65,33.65,33.72,52.4,22.65,7365678,"248,346,977.20",12540,33.65,-0.0029673612278022787
8,11-Feb-2021,EQ,33.75,33.95,33.2,33.65,33.3,33.35,33.59,52.4,22.65,4448100,"149,400,530.95",7925,33.35,-0.008955283729103591
9,12-Feb-2021,EQ,33.6,33.65,33.1,33.35,33.15,33.2,33.34,52.4,22.65,5970660,"199,091,286.95",10402,33.2,-0.004507896439189807
10,15-Feb-2021,EQ,33.5,33.9,33.45,33.2,33.45,33.5,33.59,47.75,22.65,4427760,"148,734,547.00",9982,33.5,0.008995562908577615
11,16-Feb-2021,EQ,33.9,35.8,33.85,33.5,34.55,34.6,34.76,47.75,22.65,25511054,"886,793,487.65",43258,34.6,0.03230824323265802
12,17-Feb-2021,EQ,34.45,38.9,34.2,34.6,38.25,38.1,37.49,47.75,22.65,92510035,"3,468,618,341.65",126905,38.1,0.09636060006897651
13,18-Feb-2021,EQ,39.0,45.25,38.95,38.1,41.9,42.05,42.71,47.75,22.65,131622894,"5,621,819,062.70",183941,42.05,0.09864510428630169
14,19-Feb-2021,EQ,43.25,44.8,38.25,42.05,40.3,40.5,41.66,47.75,22.65,87411108,"3,641,157,275.05",131840,40.5,-0.0375574123064637
15,22-Feb-2021,EQ,41.2,41.3,38.6,40.5,38.9,39.35,39.84,45.25,22.65,34109719,"1,358,780,398.60",51596,39.35,-0.028805999249081005
16,23-Feb-2021,EQ,39.7,40.2,38.5,39.35,38.8,38.75,39.39,45.25,22.65,15295831,"602,499,372.40",26808,38.75,-0.015365219064056301
17,24-Feb-2021,EQ,39.25,41.95,39.0,38.75,41.05,40.9,40.81,45.25,22.65,16721715,"682,454,563.90",31236,40.9,0.05399930724939983
18,25-Feb-2021,EQ,42.0,42.35,41.2,40.9,41.5,41.45,41.63,45.25,22.65,12861968,"535,446,062.75",23627,41.45,0.013357818532548027
19,26-Feb-2021,EQ,40.5,41.0,39.5,41.45,40.7,40.6,40.22,45.25,22.65,15119160,"608,049,150.55",23347,40.6,-0.020719814973616746
20,01-Mar-2021,EQ,41.0,41.45,39.9,40.6,40.1,40.05,40.57,45.25,22.65,8184972,"332,068,944.05",22568,40.05,-0.013639393093318741
21,02-Mar-2021,EQ,40.7,40.95,38.45,40.05,38.8,38.8,39.51,45.25,22.65,11101042,"438,627,623.15",20985,38.8,-0.03170842688514064
22,03-Mar-2021,EQ,39.35,40.25,39.1,38.8,39.85,39.85,39.8,45.25,22.65,11721736,"466,553,626.80",18504,39.85,0.026702158606996207
23,04-Mar-2021,EQ,39.5,40.5,39.15,39.85,39.4,39.35,39.77,45.25,22.65,11929161,"474,390,312.80",18380,39.35,-0.012626430372811637
24,05-Mar-2021,EQ,39.4,39.65,38.05,39.35,38.5,38.3,38.79,45.25,22.65,7786621,"302,010,445.90",14621,38.3,-0.02704607867681208
25,08-Mar-2021,EQ,39.0,40.25,37.9,38.3,38.1,38.15,38.96,45.25,22.65,13043072,"508,129,652.00",21950,38.15,-0.003924138456134152
26,09-Mar-2021,EQ,38.5,38.85,37.1,38.15,37.6,37.55,37.94,45.25,22.65,9191895,"348,735,189.35",16451,37.55,-0.01585237952032248
27,10-Mar-2021,EQ,37.85,38.2,37.35,37.55,37.95,37.85,37.76,45.25,22.65,6086552,"229,830,192.45",10683,37.85,0.007957601673314052
28,12-Mar-2021,EQ,38.4,38.7,37.2,37.85,37.8,37.65,37.96,45.25,22.65,5457089,"207,165,995.00",11614,37.65,-0.005298025637554993
29,15-Mar-2021,EQ,38.0,38.0,36.5,37.65,37.0,36.95,37.0,45.25,22.65,5749799,"212,740,369.65",13406,36.95,-0.01876730685169159
30,16-Mar-2021,EQ,37.15,37.45,36.3,36.95,36.45,36.45,36.72,45.25,22.65,5224025,"191,847,595.05",10416,36.45,-0.013624188939543647
31,17-Mar-2021,EQ,36.5,36.8,35.0,36.45,35.15,35.15,35.8,45.25,22.65,6167404,"220,783,454.40",14043,35.15,-0.03631684019799364
