,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,548.9,548.9,510.0,560.65,535.8,534.1,523.87,601.4,240.15,20250736,"10,608,706,089.10",278573,534.1,
1,02-Feb-2021,EQ,541.0,568.5,541.0,534.1,564.75,566.3,559.07,601.4,240.15,13416792,"7,500,906,742.80",153204,566.3,0.05854088577403438
2,03-Feb-2021,EQ,562.1,579.95,555.0,566.3,557.75,558.25,568.6,601.4,240.15,7268499,"4,132,841,435.25",91011,558.25,-0.01431708239949181
3,04-Feb-2021,EQ,558.7,568.55,544.3,558.25,548.9,548.05,554.14,601.4,240.15,6751111,"3,741,081,763.15",90791,548.05,-0.01844036705853469
4,05-Feb-2021,EQ,553.85,553.85,535.0,548.05,537.7,536.5,539.84,601.4,240.15,6377789,"3,442,974,088.95",76497,536.5,-0.021299961590979244
5,08-Feb-2021,EQ,538.0,546.0,528.15,536.5,538.2,538.3,537.8,601.4,240.15,8511429,"4,577,438,479.65",99340,538.3,0.003349463496158833
6,09-Feb-2021,EQ,539.5,556.0,535.55,538.3,540.5,538.6,547.96,601.4,240.15,9171011,"5,025,332,744.00",127221,538.6,0.0005571548105862689
7,10-Feb-2021,EQ,543.0,546.45,532.45,538.6,534.8,534.4,537.57,601.4,240.15,4446858,"2,390,490,881.40",60983,534.4,-0.00782855815506256
8,11-Feb-2021,EQ,530.2,545.6,530.2,534.4,543.25,543.55,539.39,601.4,240.15,5684777,"3,066,286,013.95",81516,543.55,0.0169770764275734
9,12-Feb-2021,EQ,545.8,547.3,531.5,543.55,536.0,535.8,537.88,601.4,240.15,3043562,"1,637,082,098.75",49098,535.8,-0.014360741539500843
10,15-Feb-2021,EQ,540.0,543.95,534.55,535.8,537.25,537.45,538.21,601.15,240.15,2569470,"1,382,904,007.05",42459,537.45,0.0030747753085647034
11,16-Feb-2021,EQ,542.65,545.65,537.1,537.45,538.65,538.95,540.84,601.15,240.15,2976504,"1,609,806,430.90",42862,538.95,0.0027870698085648016
12,17-Feb-2021,EQ,525.3,542.6,525.3,538.95,537.3,539.0,538.0,601.15,240.15,2934589,"1,578,802,353.30",41994,539.0,9.276868135987826e-05
13,18-Feb-2021,EQ,536.35,556.6,532.0,539.0,541.3,541.05,546.24,601.15,240.15,6399026,"3,495,403,471.65",91673,541.05,0.003796125108659787
14,19-Feb-2021,EQ,542.95,565.0,539.5,541.05,554.9,552.8,556.12,601.15,240.15,16693854,"9,283,796,253.85",212933,552.8,0.02148457643580226
15,22-Feb-2021,EQ,556.0,560.95,536.55,552.8,539.65,539.75,550.44,601.15,240.15,7702962,"4,240,050,594.70",102661,539.75,-0.023890203058543058
16,23-Feb-2021,EQ,530.0,570.0,514.05,539.75,565.9,566.4,547.12,601.15,240.15,20867768,"11,417,274,268.70",225767,566.4,0.04819447298459334
17,24-Feb-2021,EQ,547.0,567.0,546.0,566.4,555.0,553.95,557.7,601.15,240.15,7229614,"4,031,957,170.25",93084,553.95,-0.022226112412828236
18,25-Feb-2021,EQ,560.8,597.0,559.0,553.95,594.5,593.0,581.32,601.15,240.15,16764202,"9,745,364,151.90",202069,593.0,0.06811996903104411
19,26-Feb-2021,EQ,585.0,589.4,555.45,593.0,560.95,561.55,575.58,601.15,240.15,11511171,"6,625,546,493.00",145877,561.55,-0.05449358158868112
20,01-Mar-2021,EQ,570.0,592.7,570.0,561.55,590.0,590.6,584.97,601.15,240.15,8570035,"5,013,207,178.30",115229,590.6,0.05043815190077794
21,02-Mar-2021,EQ,603.0,608.8,580.15,590.6,589.15,589.45,589.68,608.8,240.15,10602015,"6,251,840,908.85",138231,589.45,-0.001949070571686029
22,03-Mar-2021,EQ,595.8,616.85,589.2,589.45,613.95,613.6,601.62,616.85,240.15,8740632,"5,258,541,353.60",112073,613.6,0.04015335131490971
23,04-Mar-2021,EQ,602.0,631.45,599.1,613.6,614.5,615.45,618.86,631.45,240.15,14124256,"8,740,892,387.40",181716,615.45,0.0030104575032581238
24,05-Mar-2021,EQ,615.45,615.9,586.0,615.45,593.3,591.55,598.92,631.45,240.15,7517590,"4,502,467,672.30",107667,591.55,-0.03960749685663245
25,08-Mar-2021,EQ,601.0,636.2,600.0,591.55,633.45,629.95,620.69,636.2,240.15,14163149,"8,790,946,248.10",187037,629.95,0.06289424045696723
26,09-Mar-2021,EQ,634.0,637.7,611.25,629.95,624.95,624.9,622.67,637.7,240.15,10566829,"6,579,623,358.50",139695,624.9,-0.008048814221603529
27,10-Mar-2021,EQ,630.6,630.6,612.5,624.9,621.0,621.3,617.94,637.7,240.15,5583509,"3,450,272,001.85",75234,621.3,-0.00577757986538785
28,12-Mar-2021,EQ,626.6,632.95,614.1,621.3,618.55,620.3,623.64,637.7,240.15,4994965,"3,115,039,018.55",73623,620.3,-0.0016108250905757515
29,15-Mar-2021,EQ,623.3,625.45,604.45,620.3,619.45,621.35,617.01,637.7,240.15,5438311,"3,355,489,115.05",74190,621.35,0.001691298272931796
30,16-Mar-2021,EQ,625.05,639.55,616.55,621.35,620.1,620.25,628.44,639.55,240.15,8396917,"5,276,930,772.50",133712,620.25,-0.0017719076800934985
31,17-Mar-2021,EQ,623.65,626.85,605.0,620.25,609.0,609.2,619.2,639.55,240.15,4503677,"2,788,681,586.75",60782,609.2,-0.017976001550903398
32,18-Mar-2021,EQ,617.65,622.8,594.05,609.2,602.0,601.3,610.48,639.55,240.15,6154177,"3,757,028,110.05",85001,601.3,-0.013052642975484474
33,19-Mar-2021,EQ,598.0,628.9,586.2,601.3,625.0,625.45,611.97,639.55,240.15,8322870,"5,093,325,270.75",92399,625.45,0.0393774126152282
34,22-Mar-2021,EQ,624.95,636.9,617.65,625.45,625.9,628.15,629.97,639.55,240.15,6196079,"3,903,370,493.00",79806,628.15,0.004307600789676513
