,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,906.05,949.40,903.10,908.10,937.00,938.30,928.56,995.60,427.45,1777339,"1,650,367,632.60",45974,938.3,
1,02-Feb-2021,EQ,946.00,998.60,944.85,938.30,987.95,987.85,978.37,998.60,427.45,3424514,"3,350,439,643.05",72452,987.85,0.051461137063410156
2,03-Feb-2021,EQ,997.15,"1,029.90",990.00,987.85,"1,007.00","1,004.45","1,007.48","1,029.90",427.45,3255375,"3,279,722,593.35",72707,1004.45,0.016664542648744174
3,04-Feb-2021,EQ,"1,002.80","1,022.00",998.05,"1,004.45","1,007.00","1,003.35","1,011.73","1,029.90",427.45,1704896,"1,724,888,668.35",52765,1003.35,-0.0010957267756319666
4,05-Feb-2021,EQ,"1,010.00","1,040.85",989.45,"1,003.35","1,001.00","1,001.20","1,011.89","1,040.85",427.45,3672736,"3,716,403,277.05",84221,1001.2,-0.0021451206749070195
5,08-Feb-2021,EQ,"1,005.00","1,045.50","1,004.15","1,001.20","1,039.00","1,040.40","1,027.80","1,045.50",427.45,2191241,"2,252,166,990.50",60772,1040.4,0.038405974016876954
6,09-Feb-2021,EQ,"1,040.40","1,089.80","1,040.00","1,040.40","1,078.85","1,079.60","1,071.68","1,089.80",427.45,4814340,"5,159,455,455.95",123307,1079.6,0.036985347569353344
7,10-Feb-2021,EQ,"1,070.10","1,096.10","1,056.90","1,079.60","1,090.00","1,091.05","1,073.06","1,096.10",427.45,3676383,"3,944,997,857.20",70619,1091.05,0.010549933153288116
8,11-Feb-2021,EQ,"1,080.25","1,111.00","1,080.25","1,091.05","1,095.00","1,103.20","1,096.63","1,111.00",427.45,2211263,"2,424,947,986.30",58532,1103.2,0.011074512181954432
9,12-Feb-2021,EQ,"1,099.70","1,132.00","1,060.25","1,103.20","1,079.00","1,079.20","1,089.88","1,132.00",427.45,7728222,"8,422,864,353.60",167221,1079.2,-0.021995021585546226
10,15-Feb-2021,EQ,"1,090.00","1,095.00","1,052.30","1,079.20","1,059.00","1,058.00","1,068.67","1,132.00",427.45,2114945,"2,260,173,282.90",57987,1058.0,-0.019839692475301263
11,16-Feb-2021,EQ,"1,065.00","1,074.90","1,026.00","1,058.00","1,040.25","1,037.65","1,046.09","1,132.00",427.45,3350162,"3,504,585,194.25",79748,1037.65,-0.019421792450575737
12,17-Feb-2021,EQ,"1,027.00","1,049.00","1,019.00","1,037.65","1,032.30","1,032.10","1,031.04","1,132.00",427.45,2577679,"2,657,695,532.65",58266,1032.1,-0.005362979395781231
13,18-Feb-2021,EQ,"1,030.00","1,030.40","1,003.00","1,032.10","1,015.50","1,017.25","1,016.74","1,132.00",427.45,2117985,"2,153,438,813.50",50179,1017.25,-0.014492653690088453
14,19-Feb-2021,EQ,"1,014.50","1,033.95",992.20,"1,017.25","1,003.00","1,001.45","1,012.42","1,132.00",427.45,2213605,"2,241,099,785.95",50813,1001.45,-0.015653958134557833
15,22-Feb-2021,EQ,"1,001.45","1,015.00",984.90,"1,001.45",986.00,990.80,"1,000.56","1,132.00",427.45,1828675,"1,829,701,183.05",53601,990.8,-0.010691531132037468
16,23-Feb-2021,EQ,994.00,"1,021.40",979.10,990.80,"1,012.00","1,015.00","1,001.17","1,132.00",427.45,2104866,"2,107,322,846.85",48702,1015.0,0.02413119386068363
17,24-Feb-2021,EQ,"1,020.00","1,024.80","1,008.00","1,015.00","1,016.00","1,012.90","1,015.60","1,132.00",427.45,756165,"767,957,451.20",14403,1012.9,-0.0020711087831362107
18,25-Feb-2021,EQ,"1,021.10","1,054.70","1,017.60","1,012.90","1,050.45","1,048.70","1,040.23","1,132.00",427.45,3011002,"3,132,142,839.30",89751,1048.7,0.034733798147607686
19,26-Feb-2021,EQ,"1,048.00","1,054.00","1,008.95","1,048.70","1,015.00","1,018.15","1,029.96","1,132.00",427.45,2392792,"2,464,488,365.85",76020,1018.15,-0.02956404684383518
20,01-Mar-2021,EQ,"1,023.20","1,062.65","1,022.00","1,018.15","1,047.55","1,043.80","1,042.36","1,132.00",427.45,1860778,"1,939,605,672.95",56151,1043.8,0.024880645212788544
21,02-Mar-2021,EQ,"1,051.00","1,072.50","1,044.15","1,043.80","1,068.20","1,067.65","1,059.02","1,132.00",427.45,2157106,"2,284,425,010.75",52540,1067.65,0.0225920712446106
22,03-Mar-2021,EQ,"1,079.95","1,081.00","1,065.00","1,067.65","1,071.20","1,072.95","1,072.53","1,132.00",427.45,1405770,"1,507,726,222.80",40570,1072.95,0.0049518927685792136
23,04-Mar-2021,EQ,"1,062.00","1,091.90","1,056.25","1,072.95","1,074.40","1,072.50","1,077.51","1,132.00",427.45,1622921,"1,748,713,830.85",39494,1072.5,-0.00041949242033023637
24,05-Mar-2021,EQ,"1,072.00","1,073.85","1,029.15","1,072.50","1,035.95","1,031.55","1,042.23","1,132.00",427.45,1706023,"1,778,072,758.45",51864,1031.55,-0.038929846368217724
25,08-Mar-2021,EQ,"1,043.00","1,057.95","1,033.10","1,031.55","1,052.40","1,049.55","1,046.55","1,132.00",427.45,1281013,"1,340,641,553.75",30901,1049.55,0.01729897542606107
