,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"2,584.00","2,599.90","2,475.10","2,553.05","2,549.00","2,555.30","2,516.68","2,787.00","1,343.80",114642,"288,517,454.05",9154,2555.3,
1,02-Feb-2021,EQ,"2,590.00","2,650.00","2,556.80","2,555.30","2,650.00","2,616.15","2,580.85","2,787.00","1,343.80",94409,"243,655,581.20",8649,2616.15,0.02353413780805269
2,03-Feb-2021,EQ,"2,650.00","2,662.00","2,545.00","2,616.15","2,570.00","2,579.05","2,601.78","2,787.00","1,343.80",162833,"423,656,089.20",14272,2579.05,-0.014282657329932391
3,04-Feb-2021,EQ,"2,589.00","2,740.00","2,431.00","2,579.05","2,460.00","2,445.25","2,537.72","2,787.00","1,343.80",526087,"1,335,060,557.60",46519,2445.25,-0.05327374688225195
4,05-Feb-2021,EQ,"2,479.80","2,548.40","2,370.00","2,445.25","2,430.00","2,422.65","2,451.18","2,787.00","1,343.80",270173,"662,241,727.75",21426,2422.65,-0.009285384817970588
5,08-Feb-2021,EQ,"2,451.20","2,467.45","2,370.00","2,422.65","2,374.00","2,374.75","2,388.18","2,787.00","1,343.80",219314,"523,761,094.80",13106,2374.75,-0.019969813582339846
6,09-Feb-2021,EQ,"2,395.90","2,400.35","2,251.95","2,374.75","2,361.00","2,333.50","2,298.11","2,787.00","1,343.80",583944,"1,341,969,628.75",52657,2333.5,-0.017522882380421656
7,10-Feb-2021,EQ,"2,350.00","2,488.00","2,333.50","2,333.50","2,470.00","2,472.60","2,447.21","2,787.00","1,343.80",539916,"1,321,285,556.15",28672,2472.6,0.057900942182956605
8,11-Feb-2021,EQ,"2,493.60","2,510.00","2,450.25","2,472.60","2,472.00","2,464.25","2,478.68","2,787.00","1,343.80",104221,"258,330,253.30",9747,2464.25,-0.003382727027278598
9,12-Feb-2021,EQ,"2,500.00","2,524.00","2,440.35","2,464.25","2,493.25","2,481.30","2,480.72","2,787.00","1,343.80",158264,"392,608,135.15",13534,2481.3,0.0068951148204217105
10,15-Feb-2021,EQ,"2,500.00","2,519.90","2,454.00","2,481.30","2,476.70","2,472.05","2,478.34","2,787.00","1,343.80",71372,"176,884,205.05",8419,2472.05,-0.0037348504557250806
11,16-Feb-2021,EQ,"2,456.00","2,496.65","2,418.50","2,472.05","2,445.00","2,454.05","2,465.26","2,787.00","1,343.80",60107,"148,179,184.50",7178,2454.05,-0.007308044948827863
12,17-Feb-2021,EQ,"2,454.00","2,454.35","2,405.00","2,454.05","2,411.00","2,417.90","2,420.29","2,787.00","1,343.80",141044,"341,367,500.65",5914,2417.9,-0.014840326134851978
13,18-Feb-2021,EQ,"2,425.00","2,444.00","2,401.00","2,417.90","2,411.50","2,413.60","2,416.23","2,787.00","1,343.80",90226,"218,007,175.25",12676,2413.6,-0.0017799859817140273
14,19-Feb-2021,EQ,"2,407.05","2,430.00","2,396.00","2,413.60","2,413.05","2,420.90","2,408.27","2,787.00","1,343.80",64954,"156,426,894.50",11822,2420.9,0.003019962994356362
15,22-Feb-2021,EQ,"2,415.00","2,424.00","2,380.85","2,420.90","2,396.15","2,397.10","2,397.51","2,787.00","1,343.80",96446,"231,230,281.50",9744,2397.1,-0.009879698459843489
