,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,416.1,423.8,408.2,417.9,423.05,421.5,415.3,467.45,159.4,15081852,"6,263,467,806.45",160816,421.5,
1,02-Feb-2021,EQ,428.0,435.55,423.65,421.5,427.9,428.35,427.93,467.45,159.4,13310498,"5,696,008,265.30",111916,428.35,0.016120840968143035
2,03-Feb-2021,EQ,430.2,439.95,430.2,428.35,435.0,433.5,436.37,467.45,159.4,9897666,"4,319,033,021.40",103571,433.5,0.01195117781054389
3,04-Feb-2021,EQ,433.5,436.9,428.25,433.5,430.4,429.9,430.85,467.45,159.4,7193299,"3,099,248,262.30",74478,429.9,-0.008339172718360821
4,05-Feb-2021,EQ,432.0,433.4,420.55,429.9,426.5,425.55,424.89,467.45,159.4,8679026,"3,687,625,859.55",88201,425.55,-0.010170173579266084
5,08-Feb-2021,EQ,430.35,437.7,426.3,425.55,436.3,435.3,431.95,467.45,159.4,12516340,"5,406,378,731.25",114768,435.3,0.022652998635281918
6,09-Feb-2021,EQ,440.25,451.75,435.2,435.3,441.5,439.35,445.17,467.45,159.4,29474830,"13,121,220,479.85",232757,439.35,0.009260913383600133
7,10-Feb-2021,EQ,442.0,444.15,435.0,439.35,439.7,439.0,438.83,467.45,159.4,10607735,"4,655,001,302.00",86594,439.0,-0.0007969488666805802
8,11-Feb-2021,EQ,439.0,440.5,433.4,439.0,440.2,437.0,436.02,467.45,159.4,9237026,"4,027,518,160.70",77279,437.0,-0.004566217979581566
9,12-Feb-2021,EQ,440.0,449.2,439.6,437.0,441.7,442.0,444.59,467.45,159.4,19280834,"8,572,128,073.15",164996,442.0,0.01137668698210792
10,15-Feb-2021,EQ,444.6,444.9,436.8,442.0,440.6,439.7,440.59,467.45,159.4,7844877,"3,456,408,489.20",70216,439.7,-0.005217205890933663
11,16-Feb-2021,EQ,446.0,447.8,433.8,439.7,437.85,437.55,440.41,467.45,159.4,12453798,"5,484,779,615.00",104505,437.55,-0.004901691204923786
12,17-Feb-2021,EQ,435.9,439.0,428.5,437.55,430.3,430.2,432.63,467.45,159.4,7390192,"3,197,186,846.10",80438,430.2,-0.016940768148210772
13,18-Feb-2021,EQ,430.3,436.65,429.35,430.2,433.1,432.95,432.81,467.45,159.4,8385736,"3,629,411,940.05",71721,432.95,0.006372031060180916
14,19-Feb-2021,EQ,433.15,435.75,426.1,432.95,430.6,429.95,431.28,467.45,159.4,8478666,"3,656,686,491.10",86014,429.95,-0.006953325036905156
15,22-Feb-2021,EQ,430.7,432.85,416.0,429.95,417.9,418.7,422.91,467.45,159.4,10666087,"4,510,812,288.10",134823,418.7,-0.02651424983180739
16,23-Feb-2021,EQ,419.7,426.0,414.3,418.7,415.95,415.5,419.17,467.45,159.4,8992353,"3,769,280,408.05",111306,415.5,-0.007672058729594866
17,24-Feb-2021,EQ,417.7,425.8,414.75,415.5,423.9,423.1,419.2,467.45,159.4,5060297,"2,121,297,703.50",58620,423.1,0.018125943430518987
18,25-Feb-2021,EQ,423.1,429.0,420.45,423.1,421.95,421.3,424.69,467.45,159.4,9110392,"3,869,135,577.75",87331,421.3,-0.004263388741050811
19,26-Feb-2021,EQ,417.95,419.85,408.0,421.3,409.1,410.3,413.09,467.45,159.4,11731941,"4,846,335,181.35",134357,410.3,-0.02645656953683062
20,01-Mar-2021,EQ,411.0,418.7,409.2,410.3,416.0,414.4,414.87,467.45,159.4,6421696,"2,664,191,687.05",73357,414.4,0.00994309149713235
21,02-Mar-2021,EQ,419.7,433.1,418.25,414.4,433.0,430.4,426.86,467.45,159.4,14875234,"6,349,661,834.05",138374,430.4,0.037883317902301705
22,03-Mar-2021,EQ,433.0,436.65,428.25,430.4,434.75,435.5,433.26,467.45,159.4,8782452,"3,805,077,337.70",105714,435.5,0.011779787444982759
23,04-Mar-2021,EQ,428.9,444.3,427.5,435.5,439.0,438.8,439.03,467.45,159.4,12963797,"5,691,471,841.40",163014,438.8,0.00754893210851737
24,05-Mar-2021,EQ,440.0,440.0,417.0,438.8,422.0,420.85,426.19,467.45,159.4,43931172,"18,723,184,459.55",404654,420.85,-0.04176725274348936
25,08-Mar-2021,EQ,425.1,425.15,415.55,420.85,417.1,416.9,418.53,467.45,159.4,12354838,"5,170,931,708.70",148931,416.9,-0.009430090770834454
26,09-Mar-2021,EQ,419.8,422.8,410.05,416.9,422.4,419.2,416.27,467.45,159.4,11905629,"4,955,994,708.45",126287,419.2,0.005501748120081196
27,10-Mar-2021,EQ,426.1,430.7,423.0,419.2,425.8,426.7,427.09,467.45,159.4,17291368,"7,384,953,020.05",158961,426.7,0.01773305718712237
28,12-Mar-2021,EQ,431.5,432.8,422.1,426.7,425.55,425.2,427.39,467.45,159.4,8960126,"3,829,473,771.10",96760,425.2,-0.0035215437261619797
29,15-Mar-2021,EQ,424.8,428.6,417.8,425.2,426.0,426.35,424.52,467.45,159.4,7517124,"3,191,175,184.35",81710,426.35,0.002700958720265767
30,16-Mar-2021,EQ,427.25,434.95,425.65,426.35,429.5,429.3,430.57,467.45,159.4,10673647,"4,595,785,806.10",104993,429.3,0.006895370042456328
31,17-Mar-2021,EQ,429.0,435.5,417.7,429.3,419.45,419.65,427.84,467.45,159.4,12134812,"5,191,789,937.05",131278,419.65,-0.022734944701678472
32,18-Mar-2021,EQ,423.25,424.15,404.3,419.65,410.9,410.15,414.52,467.45,159.4,10082931,"4,179,528,080.40",112297,410.15,-0.022898084080077652
33,19-Mar-2021,EQ,408.95,413.65,399.45,410.15,410.9,410.5,408.79,467.45,159.4,16875402,"6,898,523,511.45",133925,410.5,0.0008529824437246702
34,22-Mar-2021,EQ,411.05,416.25,410.2,410.5,415.4,414.45,413.97,467.45,165.0,6622984,"2,741,725,160.25",68781,414.45,0.009576411145052255
35,23-Mar-2021,EQ,417.7,423.4,412.7,414.45,415.25,415.5,416.98,467.45,165.0,11575194,"4,826,667,778.95",116986,415.5,0.0025302742579675908
36,24-Mar-2021,EQ,411.35,415.45,409.2,415.5,410.8,411.0,411.84,467.45,165.0,5140347,"2,117,024,375.25",58920,411.0,-0.01088939979926895
37,25-Mar-2021,EQ,410.7,411.7,397.75,411.0,400.0,399.65,402.63,467.45,165.0,12737129,"5,128,332,834.10",131050,399.65,-0.028004050424206284
38,26-Mar-2021,EQ,404.8,407.7,400.65,399.65,405.8,403.9,403.72,467.45,165.0,9033369,"3,646,930,755.85",86480,403.9,0.010578158497339452
39,30-Mar-2021,EQ,405.0,420.45,405.0,403.9,419.7,418.1,413.6,467.45,173.8,13171390,"5,447,725,008.70",122127,418.1,0.03455331579315235
40,31-Mar-2021,EQ,419.8,419.8,413.35,418.1,414.2,414.15,415.37,467.45,173.8,7445134,"3,092,516,066.65",102143,414.15,-0.009492411318246852
41,01-Apr-2021,EQ,418.85,422.85,414.35,414.15,416.7,416.4,417.72,467.45,173.8,7596943,"3,173,383,107.85",85649,416.4,0.005418109696541329
