,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,16.0,16.5,15.45,15.75,16.5,16.4,16.02,87.3,5.65,186599301,"2,989,613,093.65",138834,16.4,
1,02-Feb-2021,EQ,16.55,16.85,16.1,16.4,16.55,16.55,16.48,87.3,5.65,180587323,"2,976,164,640.70",109805,16.55,0.009104766992919178
2,03-Feb-2021,EQ,16.65,16.65,16.2,16.55,16.25,16.25,16.42,87.3,5.65,88995339,"1,461,270,318.00",86264,16.25,-0.018293193047325573
3,04-Feb-2021,EQ,16.25,16.55,16.05,16.25,16.3,16.2,16.29,87.3,5.65,129199434,"2,104,550,989.10",90044,16.2,-0.0030816665374082675
4,05-Feb-2021,EQ,16.85,17.45,16.75,16.2,16.9,16.9,17.0,87.3,5.65,235552294,"4,003,369,480.45",151331,16.9,0.042302379690689396
5,08-Feb-2021,EQ,17.15,17.3,16.9,16.9,17.1,17.05,17.1,87.3,5.65,132788785,"2,270,245,123.30",124143,17.05,0.008836581800498067
6,09-Feb-2021,EQ,17.1,17.1,16.6,17.05,16.7,16.65,16.82,87.3,5.65,94882109,"1,596,342,867.10",103597,16.65,-0.02373998730307303
7,10-Feb-2021,EQ,16.65,16.7,16.3,16.65,16.4,16.4,16.43,87.3,5.65,80183508,"1,317,511,535.10",95161,16.4,-0.01512888159629977
8,11-Feb-2021,EQ,16.4,16.7,16.3,16.4,16.5,16.5,16.52,87.3,5.65,58079419,"959,370,570.40",75038,16.5,0.006079046076381989
9,12-Feb-2021,EQ,16.5,16.55,16.35,16.5,16.4,16.4,16.44,87.3,5.65,47492701,"780,544,900.45",71930,16.4,-0.006079046076381989
10,15-Feb-2021,EQ,16.4,16.6,16.15,16.4,16.25,16.25,16.32,87.3,5.65,64057989,"1,045,266,640.10",81999,16.25,-0.009188426054406396
11,16-Feb-2021,EQ,16.25,16.35,15.95,16.25,16.05,16.05,16.06,87.3,5.65,77478438,"1,244,576,622.50",94135,16.05,-0.01238405919972152
12,17-Feb-2021,EQ,16.05,16.1,15.75,16.05,15.9,15.9,15.9,87.3,5.65,87586901,"1,392,383,134.95",107855,15.9,-0.00938974034983886
13,18-Feb-2021,EQ,15.85,16.55,15.65,15.9,16.15,16.15,16.13,87.3,5.65,172725915,"2,785,777,864.10",127133,16.15,0.015600940442479505
14,19-Feb-2021,EQ,16.15,16.3,15.85,16.15,16.05,15.95,16.08,87.3,5.65,94798271,"1,524,246,048.40",80883,15.95,-0.01246122043781206
15,22-Feb-2021,EQ,16.0,16.0,15.55,15.95,15.55,15.6,15.7,87.3,5.65,75367244,"1,183,614,576.60",85540,15.6,-0.02218791497536232
16,23-Feb-2021,EQ,15.6,15.75,15.5,15.6,15.65,15.6,15.63,87.3,5.65,65178836,"1,018,510,762.80",66978,15.6,0.0
17,24-Feb-2021,EQ,15.8,16.4,15.7,15.6,16.05,16.1,16.09,87.3,5.65,100496229,"1,616,874,100.10",55545,16.1,0.031548357734926036
18,25-Feb-2021,EQ,16.1,16.35,16.05,16.1,16.1,16.1,16.17,87.3,5.65,69277131,"1,120,422,414.45",60653,16.1,0.0
19,26-Feb-2021,EQ,15.8,15.95,15.65,16.1,15.8,15.75,15.78,87.3,5.65,115922281,"1,829,039,640.45",116880,15.75,-0.021978906718775004
20,01-Mar-2021,EQ,15.95,16.9,15.75,15.75,16.4,16.3,16.35,87.3,5.65,182912199,"2,990,892,243.20",107931,16.3,0.03432474254107465
21,02-Mar-2021,EQ,16.5,16.65,16.25,16.3,16.3,16.3,16.39,87.3,5.65,82198118,"1,347,376,241.40",68240,16.3,0.0
22,03-Mar-2021,EQ,16.4,16.55,16.25,16.3,16.35,16.35,16.41,87.3,5.65,95262247,"1,562,898,823.05",74550,16.35,0.0030627895305457287
23,04-Mar-2021,EQ,16.25,16.75,16.05,16.35,16.65,16.6,16.49,87.3,5.65,147502225,"2,432,044,341.05",77456,16.6,0.015174798019235158
24,05-Mar-2021,EQ,16.6,16.9,16.3,16.6,16.4,16.35,16.59,87.3,5.65,102085430,"1,693,353,607.80",70930,16.35,-0.015174798019235158
25,08-Mar-2021,EQ,16.55,16.65,16.25,16.35,16.3,16.25,16.45,87.3,11.1,67424765,"1,108,890,447.35",56209,16.25,-0.006134988567516153
26,09-Mar-2021,EQ,16.25,16.4,15.95,16.25,16.1,16.05,16.12,87.3,11.1,77245066,"1,244,830,615.05",63156,16.05,-0.01238405919972152
27,10-Mar-2021,EQ,16.1,16.25,16.0,16.05,16.0,16.05,16.07,87.3,11.1,44844215,"720,568,387.75",47277,16.05,0.0
28,12-Mar-2021,EQ,16.0,16.25,15.85,16.05,15.85,15.9,16.02,87.3,11.1,81941288,"1,312,394,907.85",78523,15.9,-0.00938974034983886
29,15-Mar-2021,EQ,15.7,15.75,15.45,15.9,15.6,15.65,15.59,87.3,11.1,80253110,"1,251,030,076.70",75603,15.65,-0.015848192240023984
30,16-Mar-2021,EQ,15.65,15.65,15.4,15.65,15.5,15.45,15.51,87.3,11.1,53393224,"828,069,621.50",66819,15.45,-0.012861913642407519
31,17-Mar-2021,EQ,15.45,15.55,15.05,15.45,15.1,15.1,15.18,87.3,11.1,81186413,"1,232,280,129.45",87596,15.1,-0.022914259522875735
32,18-Mar-2021,EQ,15.2,15.3,14.8,15.1,14.85,14.9,15.0,87.3,11.1,92968773,"1,394,798,420.65",94516,14.9,-0.013333530869465537
33,19-Mar-2021,EQ,14.85,15.05,14.3,14.9,14.9,14.95,14.65,87.3,11.1,133410477,"1,954,473,696.95",95549,14.95,0.0033500868852822663
34,22-Mar-2021,EQ,14.95,15.1,14.75,14.95,14.9,14.85,14.91,49.5,11.1,62159949,"926,793,482.10",68848,14.85,-0.006711434587987064
35,23-Mar-2021,EQ,14.9,15.05,14.75,14.85,14.85,14.9,14.9,49.5,11.1,61085946,"910,417,732.50",69787,14.9,0.0033613477027047978
36,24-Mar-2021,EQ,14.85,15.0,14.6,14.9,14.65,14.65,14.77,49.5,11.1,59903730,"884,938,226.20",73259,14.65,-0.016920877488336927
37,25-Mar-2021,EQ,14.65,14.7,14.1,14.65,14.2,14.2,14.26,49.5,11.1,110609689,"1,577,217,270.55",115076,14.2,-0.031198370855861413
38,26-Mar-2021,EQ,14.25,14.5,14.0,14.2,14.1,14.05,14.25,49.5,11.1,106766399,"1,521,189,066.30",93484,14.05,-0.010619568827459958
39,30-Mar-2021,EQ,14.15,16.85,14.0,14.05,16.4,16.3,15.87,32.0,11.1,336333365,"5,336,636,094.85",156167,16.3,0.14854271203296188
40,31-Mar-2021,EQ,16.15,16.25,15.4,16.3,15.5,15.6,15.82,32.0,11.1,208381534,"3,295,759,241.05",124583,15.6,-0.04389419355722568
41,01-Apr-2021,EQ,15.65,15.85,15.35,15.6,15.75,15.7,15.64,32.0,11.1,93196660,"1,457,770,484.55",72805,15.7,0.006389798098771049
42,05-Apr-2021,EQ,15.85,15.95,15.2,15.7,15.55,15.5,15.54,32.0,11.1,83064018,"1,291,220,605.05",80377,15.5,-0.012820688429061367
43,06-Apr-2021,EQ,15.65,15.85,15.5,15.5,15.65,15.6,15.65,32.0,11.1,59808985,"935,912,103.60",50488,15.6,0.0064308903302903175
