,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,222.0,229.5,214.2,220.0,227.05,227.2,221.65,268.0,114.0,12214573,"2,707,321,923.55",69084,227.2,
1,02-Feb-2021,EQ,228.0,247.7,227.5,227.2,244.9,242.9,239.9,268.0,114.0,31973546,"7,670,446,855.50",175793,242.9,0.0668191491611303
2,03-Feb-2021,EQ,245.0,251.75,238.55,242.9,242.8,244.2,246.39,268.0,114.0,25334325,"6,242,021,308.75",156100,244.2,0.005337725668477233
3,04-Feb-2021,EQ,242.8,261.0,242.0,244.2,249.55,249.45,250.59,268.0,114.0,42216784,"10,579,118,420.55",252943,249.45,0.02127093263044255
4,05-Feb-2021,EQ,251.5,251.5,212.05,249.45,216.7,215.3,222.43,268.0,114.0,83931232,"18,668,428,138.50",465910,215.3,-0.14722608993672903
5,08-Feb-2021,EQ,220.0,222.4,210.8,215.3,220.3,219.75,217.91,261.0,114.0,52078446,"11,348,544,415.10",277388,219.75,0.020458132194968393
6,09-Feb-2021,EQ,221.9,221.9,214.0,219.75,216.45,215.75,216.57,261.0,114.0,24401733,"5,284,775,327.35",139289,215.75,-0.01837020660174904
7,10-Feb-2021,EQ,217.5,220.3,215.0,215.75,217.0,217.25,217.45,261.0,114.0,17069196,"3,711,659,388.80",106299,217.25,0.006928434181964427
8,11-Feb-2021,EQ,217.25,218.6,214.0,217.25,214.95,215.1,215.78,261.0,114.0,14009697,"3,022,957,261.30",90781,215.1,-0.009945727871817134
9,12-Feb-2021,EQ,215.95,218.4,212.0,215.1,212.35,212.5,215.1,261.0,114.0,16761723,"3,605,405,101.35",97559,212.5,-0.012161047909212463
10,15-Feb-2021,EQ,215.75,215.75,210.1,212.5,211.3,211.7,212.31,261.0,114.0,16138993,"3,426,487,727.40",107846,211.7,-0.003771810223652139
11,16-Feb-2021,EQ,213.5,213.75,202.85,211.7,206.45,206.1,208.06,261.0,114.0,22889782,"4,762,390,548.85",143366,206.1,-0.026808690244406463
12,17-Feb-2021,EQ,206.9,216.0,205.25,206.1,214.3,214.95,212.43,261.0,114.0,24935346,"5,297,109,817.75",139357,214.95,0.042043955045877546
13,18-Feb-2021,EQ,214.95,217.9,211.0,214.95,211.8,211.75,213.75,261.0,114.0,10113509,"2,161,800,994.95",64038,211.75,-0.01499910941012672
14,19-Feb-2021,EQ,211.75,213.7,205.75,211.75,208.65,208.55,210.08,261.0,114.0,11980113,"2,516,762,294.50",70489,208.55,-0.015227512889209649
15,22-Feb-2021,EQ,209.0,209.6,200.25,208.55,201.0,201.8,203.89,261.0,114.0,12740682,"2,597,716,782.40",102574,201.8,-0.03290171272344544
16,23-Feb-2021,EQ,203.8,205.8,198.05,201.8,202.4,201.95,202.26,261.0,114.0,13790781,"2,789,377,915.70",105630,201.95,0.0007430340899130528
17,24-Feb-2021,EQ,203.55,208.8,202.5,201.95,205.95,205.6,206.27,261.0,114.0,14598127,"3,011,123,344.25",58081,205.6,0.017912391571588415
18,25-Feb-2021,EQ,207.85,210.8,206.3,205.6,208.75,208.6,208.33,261.0,114.0,14098285,"2,937,104,659.35",68829,208.6,0.014486008985661769
19,26-Feb-2021,EQ,205.0,208.55,200.0,208.6,200.85,201.0,203.03,261.0,114.0,15890204,"3,226,265,972.45",95487,201.0,-0.037113634507596416
20,01-Mar-2021,EQ,203.0,218.2,202.4,201.0,215.95,216.85,213.21,261.0,114.0,31327176,"6,679,362,238.10",164822,216.85,0.07590096222229992
21,02-Mar-2021,EQ,217.0,221.4,214.35,216.85,220.0,220.15,218.56,261.0,114.0,20946460,"4,578,017,325.20",119199,220.15,0.015103261920387467
22,03-Mar-2021,EQ,221.9,226.0,220.45,220.15,222.05,222.0,223.26,261.0,114.0,15614989,"3,486,237,579.00",90985,222.0,0.008368249670516192
23,04-Mar-2021,EQ,220.0,231.8,216.8,222.0,225.25,225.75,227.54,261.0,114.0,28577547,"6,502,530,605.00",145333,225.75,0.0167508104248153
24,05-Mar-2021,EQ,225.0,229.4,215.4,225.75,217.6,218.05,222.35,261.0,114.0,18275754,"4,063,638,820.90",96144,218.05,-0.03470379800831935
25,08-Mar-2021,EQ,220.3,227.7,218.15,218.05,224.9,224.8,224.96,261.0,114.0,17810992,"4,006,709,444.25",90369,224.8,0.030486723730760446
26,09-Mar-2021,EQ,225.95,228.0,215.0,224.8,220.45,220.35,222.74,261.0,114.0,11173032,"2,488,688,722.75",64650,220.35,-0.01999392673153988
27,10-Mar-2021,EQ,222.1,224.05,220.35,220.35,221.4,221.65,221.8,261.0,114.0,7032325,"1,559,734,788.85",45256,221.65,0.0058823699030670085
28,12-Mar-2021,EQ,222.9,226.5,217.7,221.65,219.4,218.8,222.6,261.0,114.0,11711197,"2,606,944,268.05",72340,218.8,-0.012941490643236797
29,15-Mar-2021,EQ,219.0,220.35,209.05,218.8,213.0,213.25,212.67,261.0,114.0,19824700,"4,216,100,003.00",109142,213.25,-0.025692884176037545
30,16-Mar-2021,EQ,214.8,215.4,210.0,213.25,210.4,210.85,212.65,261.0,114.0,9399663,"1,998,830,395.15",51521,210.85,-0.011318206179219636
31,17-Mar-2021,EQ,210.0,211.85,202.7,210.85,203.8,203.35,206.52,261.0,114.0,11389219,"2,352,118,252.75",64048,203.35,-0.036218347839334974
32,18-Mar-2021,EQ,206.4,214.85,204.1,203.35,207.1,207.1,210.17,261.0,114.0,22859020,"4,804,319,205.05",128054,207.1,0.018273136048304828
33,19-Mar-2021,EQ,206.0,216.85,203.2,207.1,216.25,215.85,210.38,261.0,114.0,16239368,"3,416,511,131.45",97462,215.85,0.041381953599947785
34,22-Mar-2021,EQ,214.1,217.3,213.4,215.85,214.0,214.3,215.35,261.0,114.0,8223442,"1,770,950,798.40",62923,214.3,-0.007206819521955232
35,23-Mar-2021,EQ,215.3,216.45,210.4,214.3,213.0,212.65,212.8,261.0,114.0,7471433,"1,589,921,080.60",41856,212.65,-0.007729280779888548
36,24-Mar-2021,EQ,211.25,212.9,204.4,212.65,205.45,205.2,207.38,261.0,114.0,9492234,"1,968,467,389.55",55373,205.2,-0.035662508403028426
37,25-Mar-2021,EQ,206.0,206.5,194.3,205.2,197.3,196.1,198.38,261.0,114.0,14877598,"2,951,366,798.90",127441,196.1,-0.04536038009431387
38,26-Mar-2021,EQ,199.6,203.85,198.1,196.1,200.25,199.95,201.08,261.0,114.0,9834076,"1,977,392,412.35",54540,199.95,0.019442602090526506
39,30-Mar-2021,EQ,204.0,204.0,197.95,199.95,201.25,200.95,201.26,261.0,119.05,8199118,"1,650,187,752.25",49433,200.95,0.004988785602383139
40,31-Mar-2021,EQ,201.4,204.55,198.9,200.95,202.45,203.2,202.37,261.0,119.05,6453075,"1,305,937,554.65",38890,203.2,0.011134594809116827
41,01-Apr-2021,EQ,204.2,210.85,202.2,203.2,209.25,209.25,206.01,261.0,119.05,8509692,"1,753,055,823.55",62737,209.25,0.029338993665257718
42,05-Apr-2021,EQ,209.0,209.0,195.5,209.25,201.7,202.15,200.81,261.0,126.65,14387268,"2,889,051,572.80",85109,202.15,-0.03451971328280479
43,06-Apr-2021,EQ,202.25,204.5,198.6,202.15,200.3,199.9,201.42,261.0,126.65,8767242,"1,765,876,226.40",43324,199.9,-0.011192754580425124
44,07-Apr-2021,EQ,200.95,204.25,199.8,199.9,200.5,200.4,201.71,261.0,126.65,12421910,"2,505,638,439.30",54896,200.4,0.002498127704354758
45,08-Apr-2021,EQ,202.0,205.2,200.6,200.4,202.0,201.95,203.08,261.0,126.65,8695941,"1,766,008,614.15",44436,201.95,0.007704772798712511
46,09-Apr-2021,EQ,202.5,208.0,201.0,201.95,206.25,206.05,205.7,261.0,126.65,11821377,"2,431,664,800.85",66381,206.05,0.02009871577540423
47,12-Apr-2021,EQ,201.2,201.25,176.1,206.05,184.15,181.1,186.64,261.0,128.0,24875466,"4,642,818,562.45",157611,181.1,-0.1290694928954581
48,13-Apr-2021,EQ,184.85,189.25,182.1,181.1,187.9,188.05,186.48,261.0,128.0,9965317,"1,858,300,179.60",82129,188.05,0.03765852002697745
49,15-Apr-2021,EQ,189.4,190.5,184.9,188.05,188.8,189.2,187.91,261.0,128.0,10404058,"1,954,978,382.70",59592,189.2,0.006096771701431969
50,16-Apr-2021,EQ,189.2,196.9,189.2,189.2,196.35,193.95,193.14,261.0,128.0,7952202,"1,535,853,800.10",52127,193.95,0.024795737268198614
51,19-Apr-2021,EQ,187.0,191.2,185.1,193.95,191.0,190.35,188.28,261.0,128.6,9346956,"1,759,878,514.10",58935,190.35,-0.018735911057469856
52,20-Apr-2021,EQ,193.0,201.75,192.2,190.35,197.3,197.4,197.17,261.0,128.6,15709132,"3,097,436,910.70",77021,197.4,0.036367644170875124
53,22-Apr-2021,EQ,195.5,199.8,191.7,197.4,192.15,192.3,194.76,261.0,128.6,10203121,"1,987,114,065.90",70603,192.3,-0.026175474404647403
54,23-Apr-2021,EQ,192.0,193.0,187.0,192.3,188.0,188.0,190.04,261.0,128.6,8529439,"1,620,901,980.80",60790,188.0,-0.022614689764784757
55,26-Apr-2021,EQ,190.6,191.1,185.1,188.0,186.7,186.4,187.35,261.0,134.65,8542755,"1,600,450,913.20",52374,186.4,-0.008547060578458776
56,27-Apr-2021,EQ,188.0,192.95,186.8,186.4,188.8,188.15,189.41,261.0,134.65,14247767,"2,698,635,614.55",73673,188.15,0.009344614787956118
57,28-Apr-2021,EQ,188.8,190.6,187.1,188.15,188.95,189.1,188.85,261.0,134.65,8429439,"1,591,916,706.70",44056,189.1,0.005036458624965157
58,29-Apr-2021,EQ,190.8,191.65,186.0,189.1,186.6,186.55,187.44,261.0,134.65,9483009,"1,777,471,019.50",60932,186.55,-0.013576675997244436
59,30-Apr-2021,EQ,185.3,190.95,183.65,186.55,185.0,185.6,187.53,261.0,134.65,11435285,"2,144,439,864.30",62607,185.6,-0.005105479315067107
60,03-May-2021,EQ,184.05,184.5,181.15,185.6,183.8,183.75,183.07,261.0,134.65,6894289,"1,262,115,800.35",48727,183.75,-0.010017682259154448
61,04-May-2021,EQ,185.4,187.35,180.8,183.75,182.3,182.1,184.1,261.0,134.65,6677740,"1,229,364,887.05",45745,182.1,-0.009020151359383277
62,05-May-2021,EQ,183.65,184.85,181.0,182.1,183.25,182.95,182.66,261.0,134.65,5766913,"1,053,410,101.20",37879,182.95,0.004656904731652922
63,06-May-2021,EQ,184.0,184.2,179.6,182.95,182.35,182.25,181.55,261.0,134.65,7055520,"1,280,961,264.25",48199,182.25,-0.003833520576447924
64,07-May-2021,EQ,183.95,190.75,181.4,182.25,186.15,186.25,186.92,261.0,134.65,21179867,"3,958,929,251.95",108167,186.25,0.02171048637090145
65,10-May-2021,EQ,187.2,193.6,186.55,186.25,189.1,189.0,190.25,261.0,134.65,13695685,"2,605,599,557.90",79673,189.0,0.014657157799973675
66,11-May-2021,EQ,188.0,189.8,185.05,189.0,186.0,186.85,187.34,261.0,134.65,9111997,"1,707,009,860.40",57669,186.85,-0.011440859128149405
67,12-May-2021,EQ,186.5,198.2,183.0,186.85,192.75,193.0,192.03,261.0,134.65,30610882,"5,878,105,476.65",160206,193.0,0.03238403297339243
68,14-May-2021,EQ,194.15,195.0,186.2,193.0,190.95,191.6,191.38,261.0,134.65,18946472,"3,625,940,656.75",91776,191.6,-0.007280323368125785
69,17-May-2021,EQ,192.2,194.0,187.15,191.6,188.2,188.2,188.98,261.0,134.65,16998275,"3,212,357,864.00",77585,188.2,-0.017904638385480176
70,18-May-2021,EQ,190.0,195.0,189.65,188.2,191.3,190.45,192.44,261.0,134.65,16370272,"3,150,245,282.75",80543,190.45,0.01188446577333302
71,19-May-2021,EQ,191.8,195.75,190.75,190.45,192.2,192.65,193.38,261.0,134.65,17744630,"3,431,503,114.60",97905,192.65,0.011485378147553682
72,20-May-2021,EQ,194.65,194.7,189.25,192.65,191.4,191.6,191.86,261.0,134.65,14928706,"2,864,267,577.45",74020,191.6,-0.005465205535406525
73,21-May-2021,EQ,196.0,199.0,190.2,191.6,191.1,190.7,193.89,261.0,134.65,36903604,"7,155,356,551.00",168919,190.7,-0.004708352930386184
74,24-May-2021,EQ,192.75,200.65,190.75,190.7,197.6,198.05,196.49,261.0,134.65,26696689,"5,245,644,527.20",139600,198.05,0.03781801146155228
75,25-May-2021,EQ,200.0,204.25,198.5,198.05,202.0,201.55,201.53,261.0,134.65,25885294,"5,216,723,872.90",146839,201.55,0.017517965495248866
76,26-May-2021,EQ,204.0,207.05,203.05,201.55,205.8,205.95,205.61,261.0,134.65,17320393,"3,561,199,468.60",97929,205.95,0.021595931318914907
77,27-May-2021,EQ,206.45,214.45,203.7,205.95,213.0,209.75,209.56,261.0,134.65,102639504,"21,508,932,453.45",194812,209.75,0.01828292446522628
78,28-May-2021,EQ,214.0,216.3,210.25,209.75,211.5,211.75,213.61,261.0,134.65,24722072,"5,280,937,973.70",136208,211.75,0.00948998818484803
79,31-May-2021,EQ,212.1,214.95,208.15,211.75,209.7,209.35,211.57,261.0,134.65,15441552,"3,267,038,233.05",69393,209.35,-0.01139884106701139
80,01-Jun-2021,EQ,210.5,213.7,204.55,209.35,213.5,213.2,210.12,261.0,134.65,27473056,"5,772,715,441.25",125475,213.2,0.01822319982653653
81,02-Jun-2021,EQ,212.3,215.3,210.75,213.2,212.25,212.8,212.9,261.0,134.65,21107780,"4,493,876,232.90",88289,212.8,-0.001877934824199734
82,03-Jun-2021,EQ,213.4,221.0,212.2,212.8,218.0,219.6,218.26,261.0,134.65,27032934,"5,900,174,293.50",132956,219.6,0.03145495216788596
83,04-Jun-2021,EQ,216.6,221.45,216.1,219.6,218.4,218.3,218.62,261.0,134.65,21970877,"4,803,193,329.15",76722,218.3,-0.005937446079476771
84,07-Jun-2021,EQ,219.0,222.7,217.1,218.3,217.85,217.6,219.37,261.0,134.65,23608067,"5,178,987,694.70",87035,217.6,-0.0032117485741114393
85,08-Jun-2021,EQ,219.0,221.25,214.4,217.6,219.75,220.15,218.74,261.0,134.65,16723656,"3,658,157,438.25",66200,220.15,0.011650617219975956
86,09-Jun-2021,EQ,220.0,226.15,214.1,220.15,217.0,216.55,221.42,261.0,134.65,23807905,"5,271,635,717.15",106515,216.55,-0.0164876645411276
87,10-Jun-2021,EQ,218.75,224.45,215.5,216.55,221.6,222.1,220.14,261.0,134.65,24055745,"5,295,589,544.80",110263,222.1,0.025306263239746052
88,11-Jun-2021,EQ,223.0,225.95,219.45,222.1,221.0,220.5,222.16,261.0,134.65,11069850,"2,459,307,806.75",67678,220.5,-0.007230036013480934
89,14-Jun-2021,EQ,220.5,220.9,213.8,220.5,217.95,218.2,217.75,261.0,134.65,12388921,"2,697,677,705.90",63099,218.2,-0.01048562148793053
90,15-Jun-2021,EQ,219.25,234.45,218.7,218.2,230.5,230.4,228.08,261.0,134.65,44025606,"10,041,167,138.20",220450,230.4,0.054404855422766296
91,16-Jun-2021,EQ,230.0,232.0,226.15,230.4,226.45,227.55,229.3,261.0,134.65,14531890,"3,332,194,066.45",99656,227.55,-0.012446934359085837
92,17-Jun-2021,EQ,225.9,231.45,222.2,227.55,223.25,223.75,226.95,261.0,134.65,19041251,"4,321,493,846.35",96335,223.75,-0.016840637307685924
93,18-Jun-2021,EQ,225.0,226.55,212.65,223.75,222.4,221.95,219.8,261.0,134.65,17030805,"3,743,439,978.25",100088,221.95,-0.008077225874920657
94,21-Jun-2021,EQ,218.4,224.15,216.0,221.95,222.0,221.7,220.65,261.0,134.65,15831666,"3,493,332,757.60",82656,221.7,-0.0011270146577784246
95,22-Jun-2021,EQ,223.8,223.9,217.4,221.7,217.85,218.15,220.92,261.0,134.65,9338957,"2,063,164,996.40",43467,218.15,-0.01614221705264729
96,23-Jun-2021,EQ,220.5,222.0,216.0,218.15,216.75,216.45,218.26,261.0,134.65,9257067,"2,020,436,844.80",51167,216.45,-0.007823325681628468
97,24-Jun-2021,EQ,218.0,218.55,213.6,216.45,215.5,214.75,215.82,261.0,134.65,8267604,"1,784,287,203.75",47544,214.75,-0.007885013023624765
98,25-Jun-2021,EQ,216.2,219.85,215.65,214.75,218.0,218.35,217.93,261.0,134.65,5652460,"1,231,857,281.20",32392,218.35,0.016624719067205085
99,28-Jun-2021,EQ,219.0,221.5,217.25,218.35,219.85,219.15,219.25,261.0,134.65,6550799,"1,436,261,776.40",37031,219.15,0.0036571469332482565
100,29-Jun-2021,EQ,220.0,220.75,215.45,219.15,216.5,216.05,217.87,261.0,134.65,5941840,"1,294,549,052.60",34725,216.05,-0.01424656448687589
101,30-Jun-2021,EQ,217.7,217.9,213.55,216.05,214.55,214.75,215.46,261.0,134.65,6262355,"1,349,274,076.05",34970,214.75,-0.006035301513577451
102,01-Jul-2021,EQ,216.0,218.0,214.4,214.75,216.0,215.25,215.76,261.0,134.65,7236555,"1,561,343,921.60",32497,215.25,0.0023255824434755823
103,02-Jul-2021,EQ,216.35,218.25,214.8,215.25,217.15,217.1,216.54,261.0,134.65,5672652,"1,228,339,180.30",27742,217.1,0.008557933576405219
104,05-Jul-2021,EQ,218.8,219.7,217.25,217.1,218.5,218.85,218.48,261.0,134.65,4474970,"977,673,000.90",23716,218.85,0.008028486752658104
105,06-Jul-2021,EQ,219.0,223.5,218.2,218.85,219.5,219.45,221.21,261.0,134.65,11029058,"2,439,745,692.45",57219,219.45,0.002737852497339155
106,07-Jul-2021,EQ,218.8,220.3,217.35,219.45,219.75,219.65,218.94,261.0,134.65,5669182,"1,241,200,331.95",26457,219.65,0.0009109542875451737
107,08-Jul-2021,EQ,220.15,223.05,214.55,219.65,216.85,216.15,218.64,261.0,134.65,6358866,"1,390,280,702.50",43843,216.15,-0.01606275930814771
108,09-Jul-2021,EQ,216.5,217.45,214.55,216.15,216.25,216.6,216.29,261.0,134.65,4545309,"983,116,385.75",40179,216.6,0.0020797234532494713
109,12-Jul-2021,EQ,218.9,218.9,215.0,216.6,215.3,215.35,216.71,261.0,134.65,5141836,"1,114,296,410.30",27598,215.35,-0.005787723066770667
110,13-Jul-2021,EQ,216.5,216.6,213.4,215.35,214.4,214.55,214.76,261.0,134.65,3801626,"816,436,096.50",24559,214.55,-0.0037218000625856007
