,Window,Symbol,Company Name,Betweeness Centrality,Industry
0,1,TATAMOTORS,Tata Motors Ltd.,0.5887299389837461,AUTOMOBILE
1,1,LICHSGFIN,LIC Housing Finance Ltd.,0.5764241398759166,FINANCIAL SERVICES
2,1,L&TFH,L&T Finance Holdings Ltd.,0.5638619699533406,FINANCIAL SERVICES
3,2,CADILAHC,Cadila Healthcare Ltd.,0.7043531764343948,PHARMA
4,2,BANKBARODA,Bank of Baroda,0.5597600369173974,FINANCIAL SERVICES
5,2,CANBK,Canara Bank,0.4718761216223145,FINANCIAL SERVICES
6,3,NMDC,NMDC Ltd.,0.6759985643234374,METALS
7,3,BANKBARODA,Bank of Baroda,0.5497615751422859,FINANCIAL SERVICES
8,3,JSWSTEEL,JSW Steel Ltd.,0.5024355227400913,METALS
9,4,DLF,DLF Ltd.,0.6661539250371737,CONSTRUCTION
10,4,TATAMOTORS,Tata Motors Ltd.,0.650617853663539,AUTOMOBILE
11,4,TATACHEM,Tata Chemicals Ltd.,0.46505665795005896,CHEMICALS
