,Window,Symbol,Company Name,Degree,Industry
0,1,TATAMOTORS,Tata Motors Ltd.,8.0,AUTOMOBILE
1,1,CANBK,Canara Bank,8.0,FINANCIAL SERVICES
2,1,DLF,DLF Ltd.,8.0,CONSTRUCTION
3,2,IOC,Indian Oil Corporation Ltd.,6.0,OIL & GAS
4,2,L&TFH,L&T Finance Holdings Ltd.,6.0,FINANCIAL SERVICES
5,2,BANKBARODA,Bank of Baroda,6.0,FINANCIAL SERVICES
6,3,BANKBARODA,Bank of Baroda,8.0,FINANCIAL SERVICES
7,3,NMDC,NMDC Ltd.,7.0,METALS
8,3,APOLLOTYRE,Apollo Tyres Ltd.,6.0,AUTOMOBILE
9,4,TATAMOTORS,Tata Motors Ltd.,14.0,AUTOMOBILE
10,4,AMBUJACEM,Ambuja Cements Ltd.,9.0,CEMENT & CEMENT PRODUCTS
11,4,DLF,DLF Ltd.,9.0,CONSTRUCTION
