,Window,Symbol,Company Name,Degree Centrality,Industry
0,1,DLF,DLF Ltd.,0.04040404040404041,CONSTRUCTION
1,1,TATAMOTORS,Tata Motors Ltd.,0.04040404040404041,AUTOMOBILE
2,1,CANBK,Canara Bank,0.04040404040404041,FINANCIAL SERVICES
3,2,L&TFH,L&T Finance Holdings Ltd.,0.030303030303030304,FINANCIAL SERVICES
4,2,IOC,Indian Oil Corporation Ltd.,0.030303030303030304,OIL & GAS
5,2,BANKBARODA,Bank of Baroda,0.030303030303030304,FINANCIAL SERVICES
6,3,BANKBARODA,Bank of Baroda,0.04040404040404041,FINANCIAL SERVICES
7,3,NMDC,NMDC Ltd.,0.03535353535353536,METALS
8,3,DLF,DLF Ltd.,0.030303030303030304,CONSTRUCTION
9,4,TATAMOTORS,Tata Motors Ltd.,0.07070707070707072,AUTOMOBILE
10,4,DLF,DLF Ltd.,0.045454545454545456,CONSTRUCTION
11,4,AMBUJACEM,Ambuja Cements Ltd.,0.045454545454545456,CEMENT & CEMENT PRODUCTS
