,Window,Symbol,Company Name,Betweeness Centrality,Industry
0,1,TATAPOWER,Tata Power Co. Ltd.,0.03564248941577081,POWER
1,1,CANBK,Canara Bank,0.019180912390421502,FINANCIAL SERVICES
2,1,DLF,DLF Ltd.,0.018558683019997146,CONSTRUCTION
3,2,CADILAHC,Cadila Healthcare Ltd.,0.09193641477905438,PHARMA
4,2,BANKBARODA,Bank of Baroda,0.06965681266965233,FINANCIAL SERVICES
5,2,NMDC,NMDC Ltd.,0.043788135158693536,METALS
6,3,NMDC,NMDC Ltd.,0.04092857490799924,METALS
7,3,BANKBARODA,Bank of Baroda,0.015646656142144038,FINANCIAL SERVICES
8,3,PNB,Punjab National Bank,0.013371469175547494,FINANCIAL SERVICES
9,4,DLF,DLF Ltd.,0.0463849344386206,CONSTRUCTION
10,4,TATAMOTORS,Tata Motors Ltd.,0.029052242260938915,AUTOMOBILE
11,4,UBL,United Breweries Ltd.,0.022970825001281857,CONSUMER GOODS
