,Window,Symbol,Company Name,Degree,Industry
0,1,CANBK,Canara Bank,23.0,FINANCIAL SERVICES
1,1,RBLBANK,RBL Bank Ltd.,21.0,FINANCIAL SERVICES
2,1,FEDERALBNK,Federal Bank Ltd.,20.0,FINANCIAL SERVICES
3,2,RBLBANK,RBL Bank Ltd.,10.0,FINANCIAL SERVICES
4,2,BANKBARODA,Bank of Baroda,9.0,FINANCIAL SERVICES
5,2,CANBK,Canara Bank,9.0,FINANCIAL SERVICES
6,3,NMDC,NMDC Ltd.,20.0,METALS
7,3,SAIL,Steel Authority of India Ltd.,16.0,METALS
8,3,TATASTEEL,Tata Steel Ltd.,15.0,METALS
9,4,DLF,DLF Ltd.,14.0,CONSTRUCTION
10,4,TATAMOTORS,Tata Motors Ltd.,13.0,AUTOMOBILE
11,4,CANBK,Canara Bank,12.0,FINANCIAL SERVICES
