,Window,Symbol,Company Name,Degree Centrality,Industry
0,1,CANBK,Canara Bank,0.11616161616161617,FINANCIAL SERVICES
1,1,RBLBANK,RBL Bank Ltd.,0.10606060606060606,FINANCIAL SERVICES
2,1,FEDERALBNK,Federal Bank Ltd.,0.10101010101010102,FINANCIAL SERVICES
3,2,RBLBANK,RBL Bank Ltd.,0.05050505050505051,FINANCIAL SERVICES
4,2,CANBK,Canara Bank,0.045454545454545456,FINANCIAL SERVICES
5,2,VEDL,Vedanta Ltd.,0.045454545454545456,METALS
6,3,NMDC,NMDC Ltd.,0.10101010101010102,METALS
7,3,SAIL,Steel Authority of India Ltd.,0.08080808080808081,METALS
8,3,TATASTEEL,Tata Steel Ltd.,0.07575757575757576,METALS
9,4,DLF,DLF Ltd.,0.07070707070707072,CONSTRUCTION
10,4,TATAMOTORS,Tata Motors Ltd.,0.06565656565656566,AUTOMOBILE
11,4,CANBK,Canara Bank,0.06060606060606061,FINANCIAL SERVICES
