,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,GRASIM,HDFCLIFE,HEROMOTOCO,HINDALCO,ICICIBANK,INDUSINDBK,ITC,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,RELIANCE,SHREECEM,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
BAJAJ-AUTO,1.0,0.4227075604319616,0.4030175170750264,0.30737569557219624,0.3391288881229276,0.200690115144842,0.2592944315280243,0.42780227894467,0.33636267107339246,0.6494308472057553,0.38021278585397245,0.3870779706107378,0.35313381844803127,0.310284215695147,0.3981777508948977,0.40827356901561124,0.43941269897615426,0.5258901544736905,0.2593787714726732,0.24640762268404312,0.3332217032786419,0.36525726210771997,0.36083525372661596,0.31656125512107613,0.3223132257604843,0.24418782166800093,0.22174180879696634,0.4038056441820179,0.39140416680890217,0.26432265101077607
BAJAJFINSV,0.4227075604319616,1.0,0.8217471378511924,0.3580566274166687,0.4034593617089382,0.1548517954387649,0.30174121684417105,0.5209170340496284,0.41208783304798824,0.3999966146237345,0.453096483139959,0.5660735621139605,0.5136153489699429,0.36034563856390284,0.5226939496802128,0.5623202930254204,0.4732038134941289,0.48457452984754784,0.2751077641011029,0.3285933383749397,0.38942815791179924,0.3918950889646881,0.4642977209821633,0.4217503337234448,0.4498412305848644,0.21290453478996568,0.31742228633088093,0.4120856899824408,0.49617514946827973,0.21807621682750206
BAJFINANCE,0.4030175170750264,0.8217471378511924,1.0,0.3363162925363063,0.3992129182821572,0.13422705440745428,0.2835616707795154,0.44555827668398557,0.4218714512754877,0.4039545527184153,0.4290128847265506,0.5736666024577994,0.5060399757800808,0.30278701626159993,0.5582232245303215,0.5153898469845856,0.4573154917006766,0.4954726886711404,0.2528376215547158,0.3141288245707222,0.37260285455853465,0.3837198843504754,0.4238897814386168,0.4133472142837189,0.4294847967200472,0.19031231741930538,0.3032345105528417,0.3964121374235351,0.4682687947144474,0.211325894625853
BHARTIARTL,0.30737569557219624,0.3580566274166687,0.3363162925363063,1.0,0.21459342997445194,0.2157188193998758,0.1805905702456539,0.42993995014085507,0.3058005084302797,0.2877641024222725,0.35731487833823694,0.31716693104435734,0.30531500596723793,0.2788214165455853,0.27855685735729613,0.34094220583036206,0.30852960159266896,0.320368602500693,0.18442875953336688,0.26105674163040926,0.25380432160702165,0.28575865978788,0.3027313728508753,0.3028350331539975,0.32724416817913593,0.1855066960360984,0.21311223446173674,0.2437458853223411,0.3794560527773674,0.1558913909841244
BRITANNIA,0.3391288881229276,0.4034593617089382,0.3992129182821572,0.21459342997445194,1.0,0.23165061237842885,0.20861039907130666,0.36911023613103605,0.3739640379056738,0.35011496717330537,0.2973487180784971,0.3146854973798497,0.2798976027063509,0.27435962656519974,0.372053176576411,0.3663837576271662,0.30609779868944664,0.40536413695421597,0.5265325104868757,0.2069043409234697,0.28896159476894084,0.36514121685216316,0.39308534147775515,0.4186960482364501,0.2673820732379963,0.2455457464713628,0.33466649906317847,0.34341146860387356,0.38474467333032397,0.2839024230345106
CIPLA,0.200690115144842,0.1548517954387649,0.13422705440745428,0.2157188193998758,0.23165061237842885,1.0,0.17291715810385544,0.30126965503543474,0.1341062316950426,0.2007759218992325,0.22299095146830816,0.16681937458772256,0.15354320882184208,0.1995127882061762,0.17659489996758126,0.21660876265853127,0.2841736071608439,0.20151366465515816,0.20430865997889125,0.21917309806713203,0.18202617886060599,0.16950624627594352,0.2327401110615612,0.26275934042535204,0.23190224417654356,0.21427512136377827,0.25171741283121213,0.14930259226788897,0.1974091215637189,0.22601799043177218
COALINDIA,0.2592944315280243,0.30174121684417105,0.2835616707795154,0.1805905702456539,0.20861039907130666,0.17291715810385544,1.0,0.3536459127672429,0.18955325043382662,0.2851923749137893,0.423352948699555,0.320433007909152,0.24091965002128943,0.2643609619499404,0.20751690718466007,0.3627049476658675,0.3035411846041386,0.3470315735852299,0.16551921360404206,0.4905829986911982,0.5412009515030497,0.30382654590845337,0.33061928040506144,0.2563733381724729,0.4116712971783809,0.1798387368925573,0.2510997647676349,0.23856241942771714,0.32418247525230437,0.25087045469045954
GRASIM,0.42780227894467,0.5209170340496284,0.44555827668398557,0.42993995014085507,0.36911023613103605,0.30126965503543474,0.3536459127672429,1.0,0.39591930895148103,0.41318199972288705,0.5299950694175137,0.4702585446798906,0.4154259146955748,0.35408206085444266,0.40154813020364205,0.5541581412747243,0.4909301701831918,0.4952503404743406,0.31531417303026066,0.3755483893580702,0.4156295446893937,0.37555022741957167,0.5401290827672106,0.4366927002253438,0.521239690563618,0.2430118307087115,0.3168660232520963,0.38637865220389234,0.6472022724278884,0.2657528062909446
HDFCLIFE,0.33636267107339246,0.41208783304798824,0.4218714512754877,0.3058005084302797,0.3739640379056738,0.1341062316950426,0.18955325043382662,0.39591930895148103,1.0,0.39722044395510325,0.3730845644041246,0.4055794370583932,0.37803542903919046,0.28347415055328845,0.40267379702795997,0.426727850034182,0.31260840260991,0.4160993579299133,0.33956108331752194,0.29300221362773754,0.2731596730343024,0.4056778806559959,0.3614579034082185,0.3823395917928047,0.31990604912033616,0.2599404938946281,0.30876158951301425,0.32093240114040833,0.3981770060071996,0.22268738949547215
HEROMOTOCO,0.6494308472057553,0.3999966146237345,0.4039545527184153,0.2877641024222725,0.35011496717330537,0.2007759218992325,0.2851923749137893,0.41318199972288705,0.39722044395510325,1.0,0.3839253473101515,0.361549884768297,0.3615186629360556,0.2892708504787192,0.37717999591028145,0.4076748426493156,0.4792946608100144,0.5680802745729304,0.2644767021176492,0.2874530713277389,0.3265589129582469,0.3542172640863487,0.34519286812878763,0.3167107812644291,0.3448747093035942,0.2469004717947303,0.22517047585284933,0.3747362539644504,0.4096143575642644,0.26795927486489596
HINDALCO,0.38021278585397245,0.453096483139959,0.4290128847265506,0.35731487833823694,0.2973487180784971,0.22299095146830816,0.423352948699555,0.5299950694175137,0.3730845644041246,0.3839253473101515,1.0,0.4950243996251808,0.38048159409359456,0.33606051240371876,0.3476317243428787,0.523709005552834,0.45796520410210734,0.4768097352892154,0.27799436643703535,0.40752974285878685,0.44916974205158045,0.3847811604761387,0.4771769319327673,0.39832098507543434,0.7118968451148886,0.29954299940776935,0.3385779199487706,0.3636297223734643,0.5237369374184349,0.33261510569354746
ICICIBANK,0.3870779706107378,0.5660735621139605,0.5736666024577994,0.31716693104435734,0.3146854973798497,0.16681937458772256,0.320433007909152,0.4702585446798906,0.4055794370583932,0.361549884768297,0.4950243996251808,1.0,0.5242308939741994,0.34365779327073775,0.511087115365198,0.558091421373275,0.45668318597466717,0.4783697162384125,0.27398562591741926,0.33346106932600394,0.39263974538638213,0.40010551942395156,0.4632108018240133,0.36725032981714917,0.4645241892581972,0.24427369084894368,0.2608063261871556,0.4193054685414449,0.49986253756637966,0.24736098859944552
INDUSINDBK,0.35313381844803127,0.5136153489699429,0.5060399757800808,0.30531500596723793,0.2798976027063509,0.15354320882184208,0.24091965002128943,0.4154259146955748,0.37803542903919046,0.3615186629360556,0.38048159409359456,0.5242308939741994,1.0,0.2684215218534992,0.4312655089577516,0.49718431126158436,0.39852959226156354,0.36868430572819955,0.23885011984046503,0.2755768639293012,0.2772197112000143,0.26937875090193897,0.3412957432906593,0.28476790678796077,0.3525458441490297,0.18519374669085462,0.21521147434256757,0.33069927667498955,0.38441293411641403,0.18925071650944492
ITC,0.310284215695147,0.36034563856390284,0.30278701626159993,0.2788214165455853,0.27435962656519974,0.1995127882061762,0.2643609619499404,0.35408206085444266,0.28347415055328845,0.2892708504787192,0.33606051240371876,0.34365779327073775,0.2684215218534992,1.0,0.3282770741253753,0.38744544890021254,0.3283784714293375,0.2836377576799326,0.18664312717651071,0.3299920391972961,0.37291214287091035,0.2804947313937611,0.2774104369200414,0.28988147095170685,0.323698212246718,0.21448644015527063,0.22459132535952572,0.2859954972334706,0.3459605043092288,0.228748863890807
KOTAKBANK,0.3981777508948977,0.5226939496802128,0.5582232245303215,0.27855685735729613,0.372053176576411,0.17659489996758126,0.20751690718466007,0.40154813020364205,0.40267379702795997,0.37717999591028145,0.3476317243428787,0.511087115365198,0.4312655089577516,0.3282770741253753,1.0,0.48821521080076946,0.383877091804651,0.41317805767397797,0.283327877379079,0.29936884872553093,0.26907916489187456,0.3864828267727955,0.3909856186547581,0.3614814181033113,0.3127960424172191,0.23995918294306737,0.248267517133912,0.3830207386518664,0.4288074987687181,0.1943833347703014
LT,0.40827356901561124,0.5623202930254204,0.5153898469845856,0.34094220583036206,0.3663837576271662,0.21660876265853127,0.3627049476658675,0.5541581412747243,0.426727850034182,0.4076748426493156,0.523709005552834,0.558091421373275,0.49718431126158436,0.38744544890021254,0.48821521080076946,1.0,0.5065043865172935,0.49251608316260437,0.28879626558831756,0.40185968742176936,0.42891623578944965,0.37384993711105663,0.5106981786665935,0.40149571185641725,0.47157875079714495,0.2163368647218728,0.2943315188953201,0.40121084840715465,0.5481294978827933,0.24778682180192807
M&M,0.43941269897615426,0.4732038134941289,0.4573154917006766,0.30852960159266896,0.30609779868944664,0.2841736071608439,0.3035411846041386,0.4909301701831918,0.31260840260991,0.4792946608100144,0.45796520410210734,0.45668318597466717,0.39852959226156354,0.3283784714293375,0.383877091804651,0.5065043865172935,1.0,0.5208310744360842,0.22915946535216913,0.3389548381851883,0.3427363331468593,0.3667308060108719,0.42836283859246704,0.345133658692396,0.43941697732840374,0.2712348583070661,0.28649790159129745,0.3792484049921097,0.44995369450731126,0.24235421558015732
MARUTI,0.5258901544736905,0.48457452984754784,0.4954726886711404,0.320368602500693,0.40536413695421597,0.20151366465515816,0.3470315735852299,0.4952503404743406,0.4160993579299133,0.5680802745729304,0.4768097352892154,0.4783697162384125,0.36868430572819955,0.2836377576799326,0.41317805767397797,0.49251608316260437,0.5208310744360842,1.0,0.3399277175246049,0.3394104846238343,0.39368822661099884,0.4155372446779512,0.44546999674557697,0.4111922416949096,0.41411011377650764,0.25733447051191105,0.2763439846760122,0.45994821015685766,0.5128698070626143,0.24221100626894912
NESTLEIND,0.2593787714726732,0.2751077641011029,0.2528376215547158,0.18442875953336688,0.5265325104868757,0.20430865997889125,0.16551921360404206,0.31531417303026066,0.33956108331752194,0.2644767021176492,0.27799436643703535,0.27398562591741926,0.23885011984046503,0.18664312717651071,0.283327877379079,0.28879626558831756,0.22915946535216913,0.3399277175246049,1.0,0.2112579525487468,0.17031404826336663,0.3083784676920944,0.33805292370411805,0.32579764113163967,0.21414245300843943,0.23736577928177455,0.30137405240066956,0.35527061026922235,0.34091324061018713,0.27026647136580767
NTPC,0.24640762268404312,0.3285933383749397,0.3141288245707222,0.26105674163040926,0.2069043409234697,0.21917309806713203,0.4905829986911982,0.3755483893580702,0.29300221362773754,0.2874530713277389,0.40752974285878685,0.33346106932600394,0.2755768639293012,0.3299920391972961,0.29936884872553093,0.40185968742176936,0.3389548381851883,0.3394104846238343,0.2112579525487468,1.0,0.46038906452755274,0.24261030356342048,0.3539313195324985,0.3088138422152,0.39436495544451944,0.18869517267621042,0.24569393983784255,0.3076968644131511,0.3521518794043427,0.21891612721602405
ONGC,0.3332217032786419,0.38942815791179924,0.37260285455853465,0.25380432160702165,0.28896159476894084,0.18202617886060599,0.5412009515030497,0.4156295446893937,0.2731596730343024,0.3265589129582469,0.44916974205158045,0.39263974538638213,0.2772197112000143,0.37291214287091035,0.26907916489187456,0.42891623578944965,0.3427363331468593,0.39368822661099884,0.17031404826336663,0.46038906452755274,1.0,0.4012984508102502,0.3575159093434191,0.3019530114430263,0.4464206274929674,0.2537788205272684,0.2957554657437295,0.2786609311087074,0.41294724737835786,0.2829405402294021
RELIANCE,0.36525726210771997,0.3918950889646881,0.3837198843504754,0.28575865978788,0.36514121685216316,0.16950624627594352,0.30382654590845337,0.37555022741957167,0.4056778806559959,0.3542172640863487,0.3847811604761387,0.40010551942395156,0.26937875090193897,0.2804947313937611,0.3864828267727955,0.37384993711105663,0.3667308060108719,0.4155372446779512,0.3083784676920944,0.24261030356342048,0.4012984508102502,1.0,0.3827135480272927,0.36725521124004423,0.3730897993406961,0.32902805342833086,0.33018037104318637,0.34379070845173026,0.3987916882017055,0.26512581637046806
SHREECEM,0.36083525372661596,0.4642977209821633,0.4238897814386168,0.3027313728508753,0.39308534147775515,0.2327401110615612,0.33061928040506144,0.5401290827672106,0.3614579034082185,0.34519286812878763,0.4771769319327673,0.4632108018240133,0.3412957432906593,0.2774104369200414,0.3909856186547581,0.5106981786665935,0.42836283859246704,0.44546999674557697,0.33805292370411805,0.3539313195324985,0.3575159093434191,0.3827135480272927,1.0,0.39766783186191607,0.4529286198318828,0.26393278481699767,0.3219224945394,0.42596104090753706,0.6829190687093555,0.2433530737454788
TATACONSUM,0.31656125512107613,0.4217503337234448,0.4133472142837189,0.3028350331539975,0.4186960482364501,0.26275934042535204,0.2563733381724729,0.4366927002253438,0.3823395917928047,0.3167107812644291,0.39832098507543434,0.36725032981714917,0.28476790678796077,0.28988147095170685,0.3614814181033113,0.40149571185641725,0.345133658692396,0.4111922416949096,0.32579764113163967,0.3088138422152,0.3019530114430263,0.36725521124004423,0.39766783186191607,1.0,0.3906675850897177,0.23404852331701673,0.3263104359475596,0.3451200468894844,0.43554337894501255,0.2412592890170015
TATASTEEL,0.3223132257604843,0.4498412305848644,0.4294847967200472,0.32724416817913593,0.2673820732379963,0.23190224417654356,0.4116712971783809,0.521239690563618,0.31990604912033616,0.3448747093035942,0.7118968451148886,0.4645241892581972,0.3525458441490297,0.323698212246718,0.3127960424172191,0.47157875079714495,0.43941697732840374,0.41411011377650764,0.21414245300843943,0.39436495544451944,0.4464206274929674,0.3730897993406961,0.4529286198318828,0.3906675850897177,1.0,0.25846678463537265,0.26029691110817266,0.34512098874793384,0.49774257720160503,0.26288017676650943
TCS,0.24418782166800093,0.21290453478996568,0.19031231741930538,0.1855066960360984,0.2455457464713628,0.21427512136377827,0.1798387368925573,0.2430118307087115,0.2599404938946281,0.2469004717947303,0.29954299940776935,0.24427369084894368,0.18519374669085462,0.21448644015527063,0.23995918294306737,0.2163368647218728,0.2712348583070661,0.25733447051191105,0.23736577928177455,0.18869517267621042,0.2537788205272684,0.32902805342833086,0.26393278481699767,0.23404852331701673,0.25846678463537265,1.0,0.5021812586810364,0.22775858989428288,0.2612260769399482,0.4792006332120909
TECHM,0.22174180879696634,0.31742228633088093,0.3032345105528417,0.21311223446173674,0.33466649906317847,0.25171741283121213,0.2510997647676349,0.3168660232520963,0.30876158951301425,0.22517047585284933,0.3385779199487706,0.2608063261871556,0.21521147434256757,0.22459132535952572,0.248267517133912,0.2943315188953201,0.28649790159129745,0.2763439846760122,0.30137405240066956,0.24569393983784255,0.2957554657437295,0.33018037104318637,0.3219224945394,0.3263104359475596,0.26029691110817266,0.5021812586810364,1.0,0.2617446510011679,0.310717402182653,0.4962115674662614
TITAN,0.4038056441820179,0.4120856899824408,0.3964121374235351,0.2437458853223411,0.34341146860387356,0.14930259226788897,0.23856241942771714,0.38637865220389234,0.32093240114040833,0.3747362539644504,0.3636297223734643,0.4193054685414449,0.33069927667498955,0.2859954972334706,0.3830207386518664,0.40121084840715465,0.3792484049921097,0.45994821015685766,0.35527061026922235,0.3076968644131511,0.2786609311087074,0.34379070845173026,0.42596104090753706,0.3451200468894844,0.34512098874793384,0.22775858989428288,0.2617446510011679,1.0,0.3824280358408368,0.22948839419710193
ULTRACEMCO,0.39140416680890217,0.49617514946827973,0.4682687947144474,0.3794560527773674,0.38474467333032397,0.1974091215637189,0.32418247525230437,0.6472022724278884,0.3981770060071996,0.4096143575642644,0.5237369374184349,0.49986253756637966,0.38441293411641403,0.3459605043092288,0.4288074987687181,0.5481294978827933,0.44995369450731126,0.5128698070626143,0.34091324061018713,0.3521518794043427,0.41294724737835786,0.3987916882017055,0.6829190687093555,0.43554337894501255,0.49774257720160503,0.2612260769399482,0.310717402182653,0.3824280358408368,1.0,0.285363266870469
WIPRO,0.26432265101077607,0.21807621682750206,0.211325894625853,0.1558913909841244,0.2839024230345106,0.22601799043177218,0.25087045469045954,0.2657528062909446,0.22268738949547215,0.26795927486489596,0.33261510569354746,0.24736098859944552,0.18925071650944492,0.228748863890807,0.1943833347703014,0.24778682180192807,0.24235421558015732,0.24221100626894912,0.27026647136580767,0.21891612721602405,0.2829405402294021,0.26512581637046806,0.2433530737454788,0.2412592890170015,0.26288017676650943,0.4792006332120909,0.4962115674662614,0.22948839419710193,0.285363266870469,1.0
