,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,GRASIM,HDFCLIFE,HEROMOTOCO,HINDALCO,ICICIBANK,INDUSINDBK,ITC,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,RELIANCE,SHREECEM,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
BAJAJ-AUTO,1.0,0.35728774611370806,0.38780378886986655,0.15471832023202298,0.2682910111669554,0.18756152536874823,0.2005454848936606,0.32715897268753935,0.16476305474377767,0.5640450167700165,0.1237832457558013,0.23762036662952507,0.3146731338277616,0.05489724249468902,0.28912487886164656,0.25129124656362306,0.40760614931113026,0.5197798711223727,0.27429439798631094,0.07198753542785195,0.20322991933211731,0.2046795779830581,0.23778117929335058,0.19948266228217437,0.21058131398596036,0.03696740970866668,0.04703377300867983,0.24285443954280497,0.2598644933489811,0.016922930700305844
BAJAJFINSV,0.35728774611370806,1.0,0.8291951072072229,0.21512423414475046,0.2903530953592766,0.14251158020739643,0.3004022987835013,0.4398604514544265,0.22162665756992975,0.4616966971383036,0.33042183678518844,0.4941692760240832,0.35574008341536895,0.4221784247277686,0.4444520996170283,0.5437009549159644,0.4728122937081081,0.44862604074032636,0.2766220201213853,0.24039397907162197,0.38913663460544157,0.23895202137070828,0.4118548099538085,0.323009810899262,0.40435230265217004,-0.023548130361587063,0.15273327162069553,0.24370194341536572,0.4797923169025044,0.0799283596715664
BAJFINANCE,0.38780378886986655,0.8291951072072229,1.0,0.1676740548518593,0.35411699226129456,0.149423124386295,0.2756135028101955,0.3949677940049557,0.24694582257298742,0.44938607006629655,0.3159912995674912,0.5050520505425232,0.37027643385418296,0.3304863372585298,0.5111470179446265,0.5390611648939964,0.45923676683066084,0.4522192749280446,0.3045973309100224,0.22050507144686596,0.3887261105712886,0.22764737825413942,0.40117661554821793,0.33482035223465895,0.3714140259706185,-0.01844278918927968,0.1735660299112096,0.2622450325624342,0.4651898686540783,0.11215329595607118
BHARTIARTL,0.15471832023202298,0.21512423414475046,0.1676740548518593,1.0,0.0402902119859433,0.20608737543549913,0.15865596507540936,0.3928105547126776,0.060413677137607084,0.161428675100311,0.2441144230586564,0.14478774183476237,0.13815723087397658,0.050962769590623874,0.1673091084604193,0.2562959261944281,0.23719959070174754,0.25056744802754055,0.1688573559096035,0.1263309015633129,0.11767762559656474,0.2603325482808111,0.22245336898204093,0.19104367976056713,0.17050202085518903,0.034282592544076826,0.07736263788288637,0.13142343029219122,0.3556477828097156,0.06537881343974715
BRITANNIA,0.2682910111669554,0.2903530953592766,0.35411699226129456,0.0402902119859433,1.0,0.12260395382135561,0.2027754831852253,0.2192072038891225,0.10384047282218647,0.28999612723365514,0.15997618436603822,0.3152991551049001,0.34031444831661106,0.19285621858802596,0.24349507313154384,0.3290492682287952,0.3467294926706132,0.3755917597032408,0.3917804581136506,0.015592309013864786,0.24374375041118593,0.14863694273348005,0.3396651135212034,0.173341240537363,0.26774374931511064,0.034388282970028154,0.0757653941477552,0.2767029390208654,0.34932418288131456,0.07614404553197274
CIPLA,0.18756152536874823,0.14251158020739643,0.149423124386295,0.20608737543549913,0.12260395382135561,1.0,0.2379794206947285,0.35069621213435126,0.10297873772983758,0.24290741212138695,0.28162776020264507,0.2821647849963209,0.2893277197273942,0.11405719488143827,0.07345097551063152,0.2402387602376254,0.24921253702139345,0.24459754166568004,0.11476036496660219,0.09501052007710602,0.21698302749079168,0.13286269131487102,0.3277062990768261,0.1513766043142301,0.3243604507990444,0.09162634677825389,0.209284588487497,-0.023451617026598627,0.2717106414736528,0.21053068800266758
COALINDIA,0.2005454848936606,0.3004022987835013,0.2756135028101955,0.15865596507540936,0.2027754831852253,0.2379794206947285,1.0,0.3873279970624689,0.07394813342352474,0.3050797718061189,0.33088666233500885,0.2510983801777467,0.2624855095703631,0.18155912120909623,0.170433255443534,0.2955790391528753,0.31335535522505575,0.4001404140472418,0.20173729352969308,0.4311348810910884,0.5905521602868521,0.22202042092440444,0.26620249279242125,0.2352163040523441,0.3898719934205828,0.021560337743109212,0.08466428291503113,0.19209136271994245,0.3298520668323746,0.16848921446129952
GRASIM,0.32715897268753935,0.4398604514544265,0.3949677940049557,0.3928105547126776,0.2192072038891225,0.35069621213435126,0.3873279970624689,1.0,0.25231563476443264,0.3919702955358469,0.4723490315659679,0.38157017720528114,0.38611958635867255,0.22823032833366375,0.2909630870968634,0.5148067993436922,0.5182080841453482,0.44567847779912445,0.28133495079037163,0.2530877810120266,0.39756290017102064,0.25256975176403085,0.46907825191454094,0.3366230417630755,0.5248322640588265,0.010673912266292855,0.07515460451444579,0.20203484033488286,0.6332503318062271,0.170069626118771
HDFCLIFE,0.16476305474377767,0.22162665756992975,0.24694582257298742,0.060413677137607084,0.10384047282218647,0.10297873772983758,0.07394813342352474,0.25231563476443264,1.0,0.3823859195381156,0.25884949776481836,0.16039004599277593,0.16226874505997096,0.2213011317528021,0.23588526852645628,0.25733178118822625,0.3151714710122613,0.24340930575765654,0.09559871063473482,0.21518843484703382,0.14756457323126898,0.21236058172664246,0.2435818308014561,0.0654766371727087,0.1888250570898141,0.11572419163581855,0.04658538755418589,0.16305617976145878,0.2942777295746969,0.1086641444657398
HEROMOTOCO,0.5640450167700165,0.4616966971383036,0.44938607006629655,0.161428675100311,0.28999612723365514,0.24290741212138695,0.3050797718061189,0.3919702955358469,0.3823859195381156,1.0,0.3777973137902302,0.31117683746078856,0.3880375389794992,0.2370176703971211,0.30728147150670293,0.38761546974542666,0.5517262203400474,0.6317384969806575,0.26425888338901915,0.19276808788581395,0.31616277766983586,0.26181524432793235,0.34726534577618884,0.23611801873435997,0.3567729832114883,0.04005046383772083,0.06416197917448235,0.2492876453853391,0.38326820974600095,0.1052298678708551
HINDALCO,0.1237832457558013,0.33042183678518844,0.3159912995674912,0.2441144230586564,0.15997618436603822,0.28162776020264507,0.33088666233500885,0.4723490315659679,0.25884949776481836,0.3777973137902302,1.0,0.35770623482079084,0.3209053121172951,0.2967762581147075,0.2316607177506968,0.41135141400219355,0.46185528447115115,0.3650577347096508,0.20036282721150941,0.2599872869657404,0.3887648787657257,0.3373589756181097,0.3717084819658859,0.28502011616260087,0.68001053450569,0.0956428309719104,0.23388419136918062,0.19273425572048342,0.46336872836478177,0.1719002780406902
ICICIBANK,0.23762036662952507,0.4941692760240832,0.5050520505425232,0.14478774183476237,0.3152991551049001,0.2821647849963209,0.2510983801777467,0.38157017720528114,0.16039004599277593,0.31117683746078856,0.35770623482079084,1.0,0.5464585685552081,0.33231753075681975,0.462500503381127,0.5786193874843497,0.4694766312282161,0.3766712041449588,0.2711855029376593,0.1512342928683576,0.3698850361228886,0.2703640758631719,0.5022099569826621,0.25406735057980234,0.42200969893511997,-0.04437501349305221,0.025983156999128402,0.2954342727039583,0.4921841688922558,0.025568927500635743
INDUSINDBK,0.3146731338277616,0.35574008341536895,0.37027643385418296,0.13815723087397658,0.34031444831661106,0.2893277197273942,0.2624855095703631,0.38611958635867255,0.16226874505997096,0.3880375389794992,0.3209053121172951,0.5464585685552081,1.0,0.215188257581784,0.36152718777010245,0.4500974962278538,0.37882629495427383,0.418322446201753,0.27920536529668805,0.0946150895952146,0.27050828666270654,0.22628030229998003,0.3874371801720208,0.18825389945052956,0.4045014974686878,-0.03461741645740385,0.03117943377786307,0.14278480716315536,0.454503755463391,0.04999159430801085
ITC,0.05489724249468902,0.4221784247277686,0.3304863372585298,0.050962769590623874,0.19285621858802596,0.11405719488143827,0.18155912120909623,0.22823032833366375,0.2213011317528021,0.2370176703971211,0.2967762581147075,0.33231753075681975,0.215188257581784,1.0,0.2931108642488183,0.47142138038470754,0.30784913396358055,0.23252170291807167,0.03568464925374331,0.19618042627014654,0.21096019503266358,0.17147998871547257,0.2206991847178706,0.18028518727476925,0.2777890994046142,-0.004770669628202229,0.0782729988088405,0.2170780345500077,0.2278693645463562,0.06139088222498095
KOTAKBANK,0.28912487886164656,0.4444520996170283,0.5111470179446265,0.1673091084604193,0.24349507313154384,0.07345097551063152,0.170433255443534,0.2909630870968634,0.23588526852645628,0.30728147150670293,0.2316607177506968,0.462500503381127,0.36152718777010245,0.2931108642488183,1.0,0.47443428919264596,0.3427570897717893,0.34247533216969694,0.15360417920185734,0.15256527575202497,0.20350604806638797,0.2118700647312353,0.3421566736916693,0.12998861475145193,0.2529842081592833,-0.056764775861996936,-0.005525067918406157,0.3214930104543802,0.3795820629658069,0.05565450038091186
LT,0.25129124656362306,0.5437009549159644,0.5390611648939964,0.2562959261944281,0.3290492682287952,0.2402387602376254,0.2955790391528753,0.5148067993436922,0.25733178118822625,0.38761546974542666,0.41135141400219355,0.5786193874843497,0.4500974962278538,0.47142138038470754,0.47443428919264596,1.0,0.5609484911763388,0.47737254562528914,0.1965441128363906,0.25952707286312937,0.4172322055831471,0.24344503247682853,0.4557325574711419,0.2856912876024418,0.44116066997257486,-0.05168237005976447,0.017002375108161678,0.2839698074125898,0.5611368412099161,0.03535031241395652
M&M,0.40760614931113026,0.4728122937081081,0.45923676683066084,0.23719959070174754,0.3467294926706132,0.24921253702139345,0.31335535522505575,0.5182080841453482,0.3151714710122613,0.5517262203400474,0.46185528447115115,0.4694766312282161,0.37882629495427383,0.30784913396358055,0.3427570897717893,0.5609484911763388,1.0,0.6270344406492384,0.3040295141063275,0.2826934033474593,0.4078971255210677,0.28116197753331895,0.4197232366463338,0.26927958968640364,0.4563678054305286,0.11786894557407854,0.11497364885437678,0.3250954737750048,0.47636233304196535,0.12772161226500509
MARUTI,0.5197798711223727,0.44862604074032636,0.4522192749280446,0.25056744802754055,0.3755917597032408,0.24459754166568004,0.4001404140472418,0.44567847779912445,0.24340930575765654,0.6317384969806575,0.3650577347096508,0.3766712041449588,0.418322446201753,0.23252170291807167,0.34247533216969694,0.47737254562528914,0.6270344406492384,1.0,0.3244717650916856,0.24771755438121756,0.40245719286456755,0.2949676479095447,0.4419194637450999,0.2390335978511016,0.44712771861143374,0.0931083828727313,0.11069802550651345,0.3897020614407719,0.4039028852743326,0.12542560738351952
NESTLEIND,0.27429439798631094,0.2766220201213853,0.3045973309100224,0.1688573559096035,0.3917804581136506,0.11476036496660219,0.20173729352969308,0.28133495079037163,0.09559871063473482,0.26425888338901915,0.20036282721150941,0.2711855029376593,0.27920536529668805,0.03568464925374331,0.15360417920185734,0.1965441128363906,0.3040295141063275,0.3244717650916856,1.0,0.06788390007450962,0.15985435367166564,0.19004358116180714,0.2841887052894382,0.16791275069801376,0.26966948143122055,0.06767946104894117,-0.013522140183251102,0.28424207199187146,0.274039651721778,0.06543936494942569
NTPC,0.07198753542785195,0.24039397907162197,0.22050507144686596,0.1263309015633129,0.015592309013864786,0.09501052007710602,0.4311348810910884,0.2530877810120266,0.21518843484703382,0.19276808788581395,0.2599872869657404,0.1512342928683576,0.0946150895952146,0.19618042627014654,0.15256527575202497,0.25952707286312937,0.2826934033474593,0.24771755438121756,0.06788390007450962,1.0,0.4335723064010829,0.11834972299426585,0.15872006588671392,0.15686189649066293,0.31606158066767215,0.07359308709987313,0.05296620488243621,0.1670587517924577,0.20730934925432537,0.12989566102537853
ONGC,0.20322991933211731,0.38913663460544157,0.3887261105712886,0.11767762559656474,0.24374375041118593,0.21698302749079168,0.5905521602868521,0.39756290017102064,0.14756457323126898,0.31616277766983586,0.3887648787657257,0.3698850361228886,0.27050828666270654,0.21096019503266358,0.20350604806638797,0.4172322055831471,0.4078971255210677,0.40245719286456755,0.15985435367166564,0.4335723064010829,1.0,0.3118945678937469,0.3540004860559546,0.22213492310178756,0.4441311266044061,0.06349565260868845,0.1016350725345899,0.2971315429749055,0.4576958119757795,0.1686579796818827
RELIANCE,0.2046795779830581,0.23895202137070828,0.22764737825413942,0.2603325482808111,0.14863694273348005,0.13286269131487102,0.22202042092440444,0.25256975176403085,0.21236058172664246,0.26181524432793235,0.3373589756181097,0.2703640758631719,0.22628030229998003,0.17147998871547257,0.2118700647312353,0.24344503247682853,0.28116197753331895,0.2949676479095447,0.19004358116180714,0.11834972299426585,0.3118945678937469,1.0,0.361026070515344,0.1384118849860875,0.285932773740164,0.0747642523098754,0.03644287249550979,0.2574674274847296,0.3008229997458245,0.11668649252432695
SHREECEM,0.23778117929335058,0.4118548099538085,0.40117661554821793,0.22245336898204093,0.3396651135212034,0.3277062990768261,0.26620249279242125,0.46907825191454094,0.2435818308014561,0.34726534577618884,0.3717084819658859,0.5022099569826621,0.3874371801720208,0.2206991847178706,0.3421566736916693,0.4557325574711419,0.4197232366463338,0.4419194637450999,0.2841887052894382,0.15872006588671392,0.3540004860559546,0.361026070515344,1.0,0.2610010106852298,0.4519582640416715,0.06595196641052174,0.11877691710409179,0.3108872243978755,0.6891074711968559,0.07909433399874946
TATACONSUM,0.19948266228217437,0.323009810899262,0.33482035223465895,0.19104367976056713,0.173341240537363,0.1513766043142301,0.2352163040523441,0.3366230417630755,0.0654766371727087,0.23611801873435997,0.28502011616260087,0.25406735057980234,0.18825389945052956,0.18028518727476925,0.12998861475145193,0.2856912876024418,0.26927958968640364,0.2390335978511016,0.16791275069801376,0.15686189649066293,0.22213492310178756,0.1384118849860875,0.2610010106852298,1.0,0.2803172511751146,0.04752696946780242,0.06536725616900003,0.13163791688357748,0.3667388329960939,0.11939244753985868
TATASTEEL,0.21058131398596036,0.40435230265217004,0.3714140259706185,0.17050202085518903,0.26774374931511064,0.3243604507990444,0.3898719934205828,0.5248322640588265,0.1888250570898141,0.3567729832114883,0.68001053450569,0.42200969893511997,0.4045014974686878,0.2777890994046142,0.2529842081592833,0.44116066997257486,0.4563678054305286,0.44712771861143374,0.26966948143122055,0.31606158066767215,0.4441311266044061,0.285932773740164,0.4519582640416715,0.2803172511751146,1.0,0.11006886381092608,0.1954700721433807,0.2322527587221641,0.5004830969375998,0.10427400710958863
TCS,0.03696740970866668,-0.023548130361587063,-0.01844278918927968,0.034282592544076826,0.034388282970028154,0.09162634677825389,0.021560337743109212,0.010673912266292855,0.11572419163581855,0.04005046383772083,0.0956428309719104,-0.04437501349305221,-0.03461741645740385,-0.004770669628202229,-0.056764775861996936,-0.05168237005976447,0.11786894557407854,0.0931083828727313,0.06767946104894117,0.07359308709987313,0.06349565260868845,0.0747642523098754,0.06595196641052174,0.04752696946780242,0.11006886381092608,1.0,0.3424604409492493,0.018450372116141926,0.06253805932886483,0.3132175829529784
TECHM,0.04703377300867983,0.15273327162069553,0.1735660299112096,0.07736263788288637,0.0757653941477552,0.209284588487497,0.08466428291503113,0.07515460451444579,0.04658538755418589,0.06416197917448235,0.23388419136918062,0.025983156999128402,0.03117943377786307,0.0782729988088405,-0.005525067918406157,0.017002375108161678,0.11497364885437678,0.11069802550651345,-0.013522140183251102,0.05296620488243621,0.1016350725345899,0.03644287249550979,0.11877691710409179,0.06536725616900003,0.1954700721433807,0.3424604409492493,1.0,-0.011222427300847196,0.0962547034494514,0.28873177468045247
TITAN,0.24285443954280497,0.24370194341536572,0.2622450325624342,0.13142343029219122,0.2767029390208654,-0.023451617026598627,0.19209136271994245,0.20203484033488286,0.16305617976145878,0.2492876453853391,0.19273425572048342,0.2954342727039583,0.14278480716315536,0.2170780345500077,0.3214930104543802,0.2839698074125898,0.3250954737750048,0.3897020614407719,0.28424207199187146,0.1670587517924577,0.2971315429749055,0.2574674274847296,0.3108872243978755,0.13163791688357748,0.2322527587221641,0.018450372116141926,-0.011222427300847196,1.0,0.27023500425516234,0.03339467642650893
