,Year,Symbol,Company Name,Betweeness Centrality,Industry
0,2018,GRASIM,Grasim Industries Ltd.,0.7857142857142857,CEMENT & CEMENT PRODUCTS
1,2018,HINDALCO,Hindalco Industries Ltd.,0.41625615763546797,METALS
2,2018,LT,Larsen & Toubro Ltd.,0.4064039408866995,CONSTRUCTION
3,2019,MARUTI,Maruti Suzuki India Ltd.,0.6650246305418719,AUTOMOBILE
4,2019,ULTRACEMCO,UltraTech Cement Ltd.,0.5541871921182266,CEMENT & CEMENT PRODUCTS
5,2019,BAJAJFINSV,Bajaj Finserv Ltd.,0.5270935960591133,FINANCIAL SERVICES
6,2020,ULTRACEMCO,UltraTech Cement Ltd.,0.6625615763546798,CEMENT & CEMENT PRODUCTS
7,2020,LT,Larsen & Toubro Ltd.,0.6625615763546798,CONSTRUCTION
8,2020,GRASIM,Grasim Industries Ltd.,0.4064039408866995,CEMENT & CEMENT PRODUCTS
9,2021,GRASIM,Grasim Industries Ltd.,0.6699507389162561,CEMENT & CEMENT PRODUCTS
10,2021,ULTRACEMCO,UltraTech Cement Ltd.,0.6083743842364532,CEMENT & CEMENT PRODUCTS
11,2021,MARUTI,Maruti Suzuki India Ltd.,0.46551724137931033,AUTOMOBILE
