,Year,Symbol,Company Name,Closeness Centrality,Industry
0,2018,INDUSINDBK,IndusInd Bank Ltd.,0.15934065934065933,FINANCIAL SERVICES
1,2018,NTPC,NTPC Ltd.,0.17682926829268292,POWER
2,2018,BAJAJ-AUTO,Bajaj Auto Ltd.,0.18354430379746836,AUTOMOBILE
3,2019,ITC,ITC Ltd.,0.13122171945701358,CONSUMER GOODS
4,2019,NTPC,NTPC Ltd.,0.15025906735751296,POWER
5,2019,ONGC,Oil & Natural Gas Corporation Ltd.,0.17365269461077845,OIL & GAS
6,2020,WIPRO,Wipro Ltd.,0.1336405529953917,IT
7,2020,TCS,Tata Consultancy Services Ltd.,0.15343915343915343,IT
8,2020,NESTLEIND,Nestle India Ltd.,0.17365269461077845,CONSUMER GOODS
9,2021,KOTAKBANK,Kotak Mahindra Bank Ltd.,0.145,FINANCIAL SERVICES
10,2021,INDUSINDBK,IndusInd Bank Ltd.,0.145,FINANCIAL SERVICES
11,2021,NTPC,NTPC Ltd.,0.14646464646464646,POWER
