,Year,Symbol,Company Name,Degree,Industry
0,2018,GRASIM,Grasim Industries Ltd.,6.0,CEMENT & CEMENT PRODUCTS
1,2018,MARUTI,Maruti Suzuki India Ltd.,5.0,AUTOMOBILE
2,2018,HINDALCO,Hindalco Industries Ltd.,4.0,METALS
3,2019,BAJAJFINSV,Bajaj Finserv Ltd.,5.0,FINANCIAL SERVICES
4,2019,ULTRACEMCO,UltraTech Cement Ltd.,5.0,CEMENT & CEMENT PRODUCTS
5,2019,TATASTEEL,Tata Steel Ltd.,5.0,METALS
6,2020,ULTRACEMCO,UltraTech Cement Ltd.,5.0,CEMENT & CEMENT PRODUCTS
7,2020,LT,Larsen & Toubro Ltd.,5.0,CONSTRUCTION
8,2020,GRASIM,Grasim Industries Ltd.,4.0,CEMENT & CEMENT PRODUCTS
9,2021,MARUTI,Maruti Suzuki India Ltd.,5.0,AUTOMOBILE
10,2021,GRASIM,Grasim Industries Ltd.,4.0,CEMENT & CEMENT PRODUCTS
11,2021,ULTRACEMCO,UltraTech Cement Ltd.,4.0,CEMENT & CEMENT PRODUCTS
