,Year,Symbol,Company Name,Closeness Centrality,Industry
0,2018,NESTLEIND,Nestle India Ltd.,0.0,CONSUMER GOODS
1,2018,ICICIBANK,ICICI Bank Ltd.,0.0,FINANCIAL SERVICES
2,2018,BHARTIARTL,Bharti Airtel Ltd.,0.0,TELECOM
3,2019,BRITANNIA,Britannia Industries Ltd.,0.0,CONSUMER GOODS
4,2019,RELIANCE,Reliance Industries Ltd.,0.0,OIL & GAS
5,2019,NESTLEIND,Nestle India Ltd.,0.0,CONSUMER GOODS
6,2020,RELIANCE,Reliance Industries Ltd.,0.0,OIL & GAS
7,2020,BHARTIARTL,Bharti Airtel Ltd.,0.0,TELECOM
8,2020,CIPLA,Cipla Ltd.,0.0,PHARMA
9,2021,RELIANCE,Reliance Industries Ltd.,0.0,OIL & GAS
10,2021,BHARTIARTL,Bharti Airtel Ltd.,0.0,TELECOM
11,2021,CIPLA,Cipla Ltd.,0.0,PHARMA
