,Year,Symbol,Company Name,Degree,Industry
0,2018,BAJAJFINSV,Bajaj Finserv Ltd.,8.0,FINANCIAL SERVICES
1,2018,ULTRACEMCO,UltraTech Cement Ltd.,6.0,CEMENT & CEMENT PRODUCTS
2,2018,LT,Larsen & Toubro Ltd.,4.0,CONSTRUCTION
3,2019,LT,Larsen & Toubro Ltd.,11.0,CONSTRUCTION
4,2019,ULTRACEMCO,UltraTech Cement Ltd.,11.0,CEMENT & CEMENT PRODUCTS
5,2019,M&M,Mahindra & Mahindra Ltd.,10.0,AUTOMOBILE
6,2020,MARUTI,Maruti Suzuki India Ltd.,9.0,AUTOMOBILE
7,2020,GRASIM,Grasim Industries Ltd.,8.0,CEMENT & CEMENT PRODUCTS
8,2020,ICICIBANK,ICICI Bank Ltd.,8.0,FINANCIAL SERVICES
9,2021,ICICIBANK,ICICI Bank Ltd.,5.0,FINANCIAL SERVICES
10,2021,LT,Larsen & Toubro Ltd.,4.0,CONSTRUCTION
11,2021,BAJFINANCE,Bajaj Finance Ltd.,4.0,FINANCIAL SERVICES
